row_number	field	raw_value	issue
95	raw_date	2,02506E+13	ambiguous_spreadsheet_scientific_date
96	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
97	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
98	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
99	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
100	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
101	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
102	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
103	raw_date	2,02505E+13	ambiguous_spreadsheet_scientific_date
104	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
105	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
106	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
107	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
108	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
109	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
110	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
111	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
112	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
113	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
114	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
115	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
116	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
117	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
118	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
119	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
120	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
121	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
122	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
123	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
124	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
125	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
126	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
127	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
128	raw_date	2,02507E+13	ambiguous_spreadsheet_scientific_date
