status	nonstandard_field_data_id	nonstandard_sample_id	nonstandard_taxon_name	date	latitude_rounded	longitude_rounded	canonical_match_count	canonical_field_data_ids	canonical_sample_ids	canonical_taxon_names
strict_taxon_date_location	72668	dbgi_53	Linum flavum	20250625085005	7.113162	46.03265	1	72529	dbgi_006792	Linum flavum
strict_taxon_date_location	72669	dbgi_54	Anthyllis montana	20250625085229	7.113125	46.032654	1	72530	dbgi_006877	Anthyllis montana
strict_taxon_date_location	72670	dbgi_55	Dianthus subacaulis	20250625085752	7.113112	46.03263	1	72531	dbgi_006980	Dianthus subacaulis
strict_taxon_date_location	72671	dbgi_56	Rhododendron violaceum	20250625090000	7.113113	46.03264	1	72532	dbgi_007037	Rhododendron violaceum
strict_taxon_date_location	72672	dbgi_57	Oxalis valdiviensis	20250625090203	7.113112	46.032654	1	72533	dbgi_008683	Oxalis valdiviensis
strict_taxon_date_location	72673	dbgi_58	Olearia haastii	20250625090629	7.113133	46.032642	1	72534	dbgi_008450	Olearia haastii
strict_taxon_date_location	72674	dbgi_59	Rhododendron lepidotum	20250625091237	7.113162	46.032646	1	72535	dbgi_008460	Rhododendron lepidotum
strict_taxon_date_location	72675	dbgi_60	Rhododendron insigne	20250625093120	7.11316	46.032627	1	72536	dbgi_008560	Rhododendron insigne
strict_taxon_date_location	72676	dbgi_61	Rhododendron hyppophaeoides	20250625093355	7.113205	46.03265	1	72537	dbgi_008398	Rhododendron hyppophaeoides
strict_taxon_date_location	72677	dbgi_62	Chamaecytisus aggregatus	20250625093702	7.11319	46.032642	1	72538	dbgi_008474	Chamaecytisus aggregatus
strict_taxon_date_location	72678	dbgi_63	Rhododendron keleticum	20250625094138	7.113055	46.032673	1	72539	dbgi_008512	Rhododendron keleticum
strict_taxon_date_location	72679	dbgi_64	Salix rotundifolia	20250625094313	7.113077	46.032677	1	72540	dbgi_008433	Salix rotundifolia
strict_taxon_date_location	72680	dbgi_65	Wulfenia carinthiaca	20250625094543	7.113052	46.032684	1	72541	dbgi_008476	Wulfenia carinthiaca
strict_taxon_date_location	72681	dbgi_66	Asarum europaeum	20250625094708	7.113073	46.032673	1	72542	dbgi_008415	Asarum europaeum
strict_taxon_date_location	72682	dbgi_67	Rhodothamnus chamaecistus	20250625094830	7.113061	46.03266	1	72543	dbgi_008517	Rhodothamnus chamaecistus
strict_taxon_date_location	72683	dbgi_68	Campanula rhomboidalis	20250625095047	7.113035	46.032677	1	72544	dbgi_008465	Campanula rhomboidalis
strict_taxon_date_location	72684	dbgi_69	Sedum lydium	20250625095313	7.113059	46.03267	1	72545	dbgi_008399	Sedum lydium
strict_taxon_date_location	72685	dbgi_70	Arum maculatum	20250625095625	7.11304	46.03267	1	72546	dbgi_008448	Arum maculatum
