field_data_id	sample_id	canonical_field_data_ids	canonical_sample_ids	rationale
73301	dbgi_385	73017	dbgi_006768	nonstandard row has one canonical row with same taxon/date/rounded location
73302	dbgi_386	73018	dbgi_006763	nonstandard row has one canonical row with same taxon/date/rounded location
73303	dbgi_387	73019	dbgi_006747	nonstandard row has one canonical row with same taxon/date/rounded location
73304	dbgi_388	73020	dbgi_006739	nonstandard row has one canonical row with same taxon/date/rounded location
73305	dbgi_389	73021	dbgi_006711	nonstandard row has one canonical row with same taxon/date/rounded location
73306	dbgi_390	73022	dbgi_006634	nonstandard row has one canonical row with same taxon/date/rounded location
73307	dbgi_391	73023	dbgi_006745	nonstandard row has one canonical row with same taxon/date/rounded location
73308	dbgi_392	73024	dbgi_006764	nonstandard row has one canonical row with same taxon/date/rounded location
73310	dbgi_394	73026	dbgi_006759	nonstandard row has one canonical row with same taxon/date/rounded location
73311	dbgi_395	73027	dbgi_006753	nonstandard row has one canonical row with same taxon/date/rounded location
73312	dbgi_396	73028	dbgi_006706	nonstandard row has one canonical row with same taxon/date/rounded location
73314	dbgi_398	73030	dbgi_007155	nonstandard row has one canonical row with same taxon/date/rounded location
73315	dbgi_399	73031	dbgi_007130	nonstandard row has one canonical row with same taxon/date/rounded location
73316	dbgi_400	73032	dbgi_006904	nonstandard row has one canonical row with same taxon/date/rounded location
73317	dbgi_401	73033	dbgi_006726	nonstandard row has one canonical row with same taxon/date/rounded location
73318	dbgi_402	73034	dbgi_006856	nonstandard row has one canonical row with same taxon/date/rounded location
73319	dbgi_403	73035	dbgi_006743	nonstandard row has one canonical row with same taxon/date/rounded location
73320	dbgi_404	73036	dbgi_006762	nonstandard row has one canonical row with same taxon/date/rounded location
73321	dbgi_405	73037	dbgi_006707	nonstandard row has one canonical row with same taxon/date/rounded location
73322	dbgi_406	73038	dbgi_006781	nonstandard row has one canonical row with same taxon/date/rounded location
73323	dbgi_407	73039	dbgi_006841	nonstandard row has one canonical row with same taxon/date/rounded location
73324	dbgi_408	73040	dbgi_006842	nonstandard row has one canonical row with same taxon/date/rounded location
73325	dbgi_409	73096	dbgi_006690	nonstandard row has one canonical row with same taxon/date/rounded location
73326	dbgi_410	73097	dbgi_007136	nonstandard row has one canonical row with same taxon/date/rounded location
73327	dbgi_411	73098	dbgi_007167	nonstandard row has one canonical row with same taxon/date/rounded location
73328	dbgi_412	73099	dbgi_006719	nonstandard row has one canonical row with same taxon/date/rounded location
73329	dbgi_413	73100	dbgi_007119	nonstandard row has one canonical row with same taxon/date/rounded location
73330	dbgi_414	73101	dbgi_007174	nonstandard row has one canonical row with same taxon/date/rounded location
73331	dbgi_415	73102	dbgi_007143	nonstandard row has one canonical row with same taxon/date/rounded location
73332	dbgi_416	73103	dbgi_007144	nonstandard row has one canonical row with same taxon/date/rounded location
73333	dbgi_417	73104	dbgi_006970	nonstandard row has one canonical row with same taxon/date/rounded location
73334	dbgi_418	73105	dbgi_006944	nonstandard row has one canonical row with same taxon/date/rounded location
73335	dbgi_419	73106	dbgi_007175	nonstandard row has one canonical row with same taxon/date/rounded location
73336	dbgi_420	73107	dbgi_006610	nonstandard row has one canonical row with same taxon/date/rounded location
73337	dbgi_421	73108	dbgi_006609	nonstandard row has one canonical row with same taxon/date/rounded location
73340	dbgi_424	73111	dbgi_007150	nonstandard row has one canonical row with same taxon/date/rounded location
73341	dbgi_425	73112	dbgi_006605	nonstandard row has one canonical row with same taxon/date/rounded location
73342	dbgi_426	73113	dbgi_006618	nonstandard row has one canonical row with same taxon/date/rounded location
73343	dbgi_427	73114	dbgi_006612	nonstandard row has one canonical row with same taxon/date/rounded location
73344	dbgi_428	73115	dbgi_004139	nonstandard row has one canonical row with same taxon/date/rounded location
73345	dbgi_429	73116	dbgi_006608	nonstandard row has one canonical row with same taxon/date/rounded location
73347	dbgi_431	73118	dbgi_007081	nonstandard row has one canonical row with same taxon/date/rounded location
73348	dbgi_432	73119	dbgi_007061	nonstandard row has one canonical row with same taxon/date/rounded location
73349	dbgi_433	73120	dbgi_007046	nonstandard row has one canonical row with same taxon/date/rounded location
73350	dbgi_434	73121	dbgi_007060	nonstandard row has one canonical row with same taxon/date/rounded location
73351	dbgi_435	73122	dbgi_007063	nonstandard row has one canonical row with same taxon/date/rounded location
73352	dbgi_436	73123	dbgi_007050	nonstandard row has one canonical row with same taxon/date/rounded location
73354	dbgi_438	73125	dbgi_007043	nonstandard row has one canonical row with same taxon/date/rounded location
73355	dbgi_439	73126	dbgi_007139	nonstandard row has one canonical row with same taxon/date/rounded location
73356	dbgi_440	73127	dbgi_007039	nonstandard row has one canonical row with same taxon/date/rounded location
73359	dbgi_443	73130	dbgi_007057	nonstandard row has one canonical row with same taxon/date/rounded location
73360	dbgi_444	73131	dbgi_007142	nonstandard row has one canonical row with same taxon/date/rounded location
73361	dbgi_445	73132	dbgi_007048	nonstandard row has one canonical row with same taxon/date/rounded location
73362	dbgi_446	73133	dbgi_007054	nonstandard row has one canonical row with same taxon/date/rounded location
73363	dbgi_447	73134	dbgi_007058	nonstandard row has one canonical row with same taxon/date/rounded location
73364	dbgi_448	73135	dbgi_007080	nonstandard row has one canonical row with same taxon/date/rounded location
73365	dbgi_449	73136	dbgi_007051	nonstandard row has one canonical row with same taxon/date/rounded location
73366	dbgi_450	73137	dbgi_007138	nonstandard row has one canonical row with same taxon/date/rounded location
73367	dbgi_451	73138	dbgi_007053	nonstandard row has one canonical row with same taxon/date/rounded location
73368	dbgi_452	73139	dbgi_007044	nonstandard row has one canonical row with same taxon/date/rounded location
73369	dbgi_453	73140	dbgi_007084	nonstandard row has one canonical row with same taxon/date/rounded location
73370	dbgi_454	73141	dbgi_007055	nonstandard row has one canonical row with same taxon/date/rounded location
73371	dbgi_455	73142	dbgi_007062	nonstandard row has one canonical row with same taxon/date/rounded location
73372	dbgi_456	73143	dbgi_007091	nonstandard row has one canonical row with same taxon/date/rounded location
73373	dbgi_457	73144	dbgi_006826	nonstandard row has one canonical row with same taxon/date/rounded location
73374	dbgi_458	73249	dbgi_006827	nonstandard row has one canonical row with same taxon/date/rounded location
73375	dbgi_459	73250	dbgi_006851	nonstandard row has one canonical row with same taxon/date/rounded location
73377	dbgi_461	73252	dbgi_006782	nonstandard row has one canonical row with same taxon/date/rounded location
73378	dbgi_462	73253	dbgi_006780	nonstandard row has one canonical row with same taxon/date/rounded location
73379	dbgi_463	73254	dbgi_007172	nonstandard row has one canonical row with same taxon/date/rounded location
73380	dbgi_464	73255	dbgi_006840	nonstandard row has one canonical row with same taxon/date/rounded location
73381	dbgi_465	73256	dbgi_006824	nonstandard row has one canonical row with same taxon/date/rounded location
73382	dbgi_466	73257	dbgi_006850	nonstandard row has one canonical row with same taxon/date/rounded location
73384	dbgi_468	73259	dbgi_006921	nonstandard row has one canonical row with same taxon/date/rounded location
73385	dbgi_469	73260	dbgi_006839	nonstandard row has one canonical row with same taxon/date/rounded location
73386	dbgi_470	73261	dbgi_006847	nonstandard row has one canonical row with same taxon/date/rounded location
73387	dbgi_471	73262	dbgi_006849	nonstandard row has one canonical row with same taxon/date/rounded location
73388	dbgi_472	73263	dbgi_006816	nonstandard row has one canonical row with same taxon/date/rounded location
73391	dbgi_475	73266	dbgi_006853	nonstandard row has one canonical row with same taxon/date/rounded location
73393	dbgi_477	73268	dbgi_006825	nonstandard row has one canonical row with same taxon/date/rounded location
73394	dbgi_478	73269	dbgi_006717	nonstandard row has one canonical row with same taxon/date/rounded location
