issue	id	sample_id	sample_name	taxon_name	date	latitude	longitude	collector_fullname	date_created
invalid_sample_id	72666	dbgi_51		Centaurea montana	20250625084553	7.113162	46.03259	Émilie Lab	2025-08-12T11:52:07.842Z
invalid_sample_id	72667	dbgi_52		Gymnocarpium dryopteris	20250625084828	7.1131473	46.032635	Émilie Lab	2025-08-12T11:52:07.870Z
invalid_sample_id	72668	dbgi_53		Linum flavum	20250625085005	7.1131625	46.03265	Émilie Lab	2025-08-12T11:52:07.899Z
invalid_sample_id	72669	dbgi_54		Anthyllis montana	20250625085229	7.1131253	46.032654	Émilie Lab	2025-08-12T11:52:07.931Z
invalid_sample_id	72670	dbgi_55		Dianthus subacaulis	20250625085752	7.1131124	46.03263	Émilie Lab	2025-08-12T11:52:07.962Z
invalid_sample_id	72671	dbgi_56		Rhododendron violaceum	20250625090000	7.1131134	46.03264	Émilie Lab	2025-08-12T11:52:07.993Z
invalid_sample_id	72672	dbgi_57		Oxalis valdiviensis	20250625090203	7.113112	46.032654	Émilie Lab	2025-08-12T11:52:08.022Z
invalid_sample_id	72673	dbgi_58		Olearia haastii	20250625090629	7.113133	46.032642	Émilie Lab	2025-08-12T11:52:08.061Z
invalid_sample_id	72674	dbgi_59		Rhododendron lepidotum	20250625091237	7.1131625	46.032646	Émilie Lab	2025-08-12T11:52:08.092Z
invalid_sample_id	72675	dbgi_60		Rhododendron insigne	20250625093120	7.1131597	46.032627	Émilie Lab	2025-08-12T11:52:08.128Z
invalid_sample_id	72676	dbgi_61		Rhododendron hyppophaeoides	20250625093355	7.1132054	46.03265	Émilie Lab	2025-08-12T11:52:08.157Z
invalid_sample_id	72677	dbgi_62		Chamaecytisus aggregatus	20250625093702	7.11319	46.032642	Émilie Lab	2025-08-12T11:52:08.189Z
invalid_sample_id	72678	dbgi_63		Rhododendron keleticum	20250625094138	7.1130548	46.032673	Émilie Lab	2025-08-12T11:52:08.220Z
invalid_sample_id	72679	dbgi_64		Salix rotundifolia	20250625094313	7.1130767	46.032677	Émilie Lab	2025-08-12T11:52:08.252Z
invalid_sample_id	72680	dbgi_65		Wulfenia carinthiaca	20250625094543	7.1130524	46.032684	Émilie Lab	2025-08-12T11:52:08.282Z
invalid_sample_id	72681	dbgi_66		Asarum europaeum	20250625094708	7.1130733	46.032673	Émilie Lab	2025-08-12T11:52:08.310Z
invalid_sample_id	72682	dbgi_67		Rhodothamnus chamaecistus	20250625094830	7.1130614	46.03266	Émilie Lab	2025-08-12T11:52:08.346Z
invalid_sample_id	72683	dbgi_68		Campanula rhomboidalis	20250625095047	7.1130347	46.032677	Émilie Lab	2025-08-12T11:52:08.374Z
invalid_sample_id	72684	dbgi_69		Sedum lydium	20250625095313	7.113059	46.03267	Émilie Lab	2025-08-12T11:52:08.405Z
invalid_sample_id	72685	dbgi_70		Arum maculatum	20250625095625	7.1130404	46.03267	Émilie Lab	2025-08-12T11:52:08.436Z
invalid_sample_id	72686	dbgi_71		Bulbinella hookeri	20250625095923	7.113079	46.03268	Émilie Lab	2025-08-12T11:52:08.469Z
invalid_sample_id	72687	dbgi_72			20250625100221	7.1130457	46.032677	Émilie Lab	2025-08-12T11:52:08.501Z
invalid_sample_id	72688	dbgi_73		Cypripedium reginae	20250625100431	7.1130385	46.032684	Émilie Lab	2025-08-12T11:52:08.533Z
invalid_sample_id	72689	dbgi_74		Rhododendron carolinianum	20250625100636	7.1130567	46.032677	Émilie Lab	2025-08-12T11:52:08.564Z
invalid_sample_id	72690	dbgi_75		Blechnum spicant	20250625100907	7.1130824	46.03267	Émilie Lab	2025-08-12T11:52:08.593Z
invalid_sample_id	72691	dbgi_76		Ribes spicatum	20250625103340	7.113192	46.032578	Émilie Lab	2025-08-12T11:52:08.630Z
invalid_sample_id	72692	dbgi_77		Penstemon ovatus	20250625103604	7.1131907	46.03257	Émilie Lab	2025-08-12T11:52:08.660Z
invalid_sample_id	72693	dbgi_78		Tsuga canadensis	20250625103817	7.1133065	46.032593	Émilie Lab	2025-08-12T11:52:08.695Z
invalid_sample_id	72694	dbgi_79		Anthennaria canadensis	20250625104139	7.1133304	46.032585	Émilie Lab	2025-08-12T11:52:08.727Z
invalid_sample_id	72695	dbgi_80		Taxus baccata	20250625104344	7.11334	46.032578	Émilie Lab	2025-08-12T11:52:08.763Z
invalid_sample_id	72696	dbgi_81		Genista radiata	20250625104603	7.113218	46.032543	Émilie Lab	2025-08-12T11:52:08.797Z
invalid_sample_id	72697	dbgi_82		Asphodelus albus	20250625104735	7.1132917	46.03255	Émilie Lab	2025-08-12T11:52:08.831Z
invalid_sample_id	72698	dbgi_83		Colutea arborescens	20250625105340	7.113236	46.032578	Émilie Lab	2025-08-12T11:52:08.866Z
invalid_sample_id	72699	dbgi_84		Dianthus subacaulis	20250625110513	7.113278	46.032574	Émilie Lab	2025-08-12T11:52:08.904Z
invalid_sample_id	72700	dbgi_85		Lithospermum intermedium	20250625110811	7.11329	46.032623	Émilie Lab	2025-08-12T11:52:08.936Z
invalid_sample_id	72701	dbgi_86		Dianthus plumarius	20250625111046	7.1132565	46.032593	Émilie Lab	2025-08-12T11:52:08.973Z
invalid_sample_id	72702	dbgi_87		Helichrysum graveolens	20250625111454	7.113254	46.032593	Émilie Lab	2025-08-12T11:52:09.004Z
