group_id	group_size	fingerprint	project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status
125	2	medicin_alps|achillea millefolium|20250625101819|6.419417|45.039795	medicin_alps	71785	meda_000336	canonical		Achillea millefolium			20250625101819	6.419417	45.039795	looks_swapped_ch_lat_lon
125	2	medicin_alps|achillea millefolium|20250625101819|6.419417|45.039795	medicin_alps	71985	meda_480	short_numeric_suffix		Achillea millefolium			20250625101819	6.419417	45.039795	looks_swapped_ch_lat_lon
126	2	medicin_alps|achillea millefolium|20250625102508|6.419436|45.039845	medicin_alps	71787	meda_000338	canonical		Achillea millefolium			20250625102508	6.4194365	45.039845	looks_swapped_ch_lat_lon
126	2	medicin_alps|achillea millefolium|20250625102508|6.419436|45.039845	medicin_alps	71987	meda_482	short_numeric_suffix		Achillea millefolium			20250625102508	6.4194365	45.039845	looks_swapped_ch_lat_lon
127	2	medicin_alps|achillea millefolium|20250625103240|6.41935|45.039856	medicin_alps	71789	meda_000340	canonical		Achillea millefolium			20250625103240	6.41935	45.039856	looks_swapped_ch_lat_lon
127	2	medicin_alps|achillea millefolium|20250625103240|6.41935|45.039856	medicin_alps	71989	meda_484	short_numeric_suffix		Achillea millefolium			20250625103240	6.41935	45.039856	looks_swapped_ch_lat_lon
128	2	medicin_alps|achillea millefolium|20250625103853|6.419384|45.039864	medicin_alps	71791	meda_000342	canonical		Achillea millefolium			20250625103853	6.4193835	45.039864	looks_swapped_ch_lat_lon
128	2	medicin_alps|achillea millefolium|20250625103853|6.419384|45.039864	medicin_alps	71991	meda_486	short_numeric_suffix		Achillea millefolium			20250625103853	6.4193835	45.039864	looks_swapped_ch_lat_lon
129	2	medicin_alps|achillea millefolium|20250625104630|6.419312|45.039886	medicin_alps	71793	meda_000344	canonical		Achillea millefolium			20250625104630	6.4193115	45.039886	looks_swapped_ch_lat_lon
129	2	medicin_alps|achillea millefolium|20250625104630|6.419312|45.039886	medicin_alps	71993	meda_488	short_numeric_suffix		Achillea millefolium			20250625104630	6.4193115	45.039886	looks_swapped_ch_lat_lon
130	2	medicin_alps|achillea millefolium|20250625105355|6.41933|45.039906	medicin_alps	71795	meda_000346	canonical		Achillea millefolium			20250625105355	6.41933	45.039906	looks_swapped_ch_lat_lon
130	2	medicin_alps|achillea millefolium|20250625105355|6.41933|45.039906	medicin_alps	71995	meda_490	short_numeric_suffix		Achillea millefolium			20250625105355	6.41933	45.039906	looks_swapped_ch_lat_lon
131	2	medicin_alps|achillea millefolium|20250625110250|6.419255|45.039875	medicin_alps	71797	meda_000348	canonical		Achillea millefolium			20250625110250	6.419255	45.039875	looks_swapped_ch_lat_lon
131	2	medicin_alps|achillea millefolium|20250625110250|6.419255|45.039875	medicin_alps	71997	meda_492	short_numeric_suffix		Achillea millefolium			20250625110250	6.419255	45.039875	looks_swapped_ch_lat_lon
132	2	medicin_alps|achillea millefolium|20250625110829|6.419262|45.039894	medicin_alps	71799	meda_000350	canonical		Achillea millefolium			20250625110829	6.4192615	45.039894	looks_swapped_ch_lat_lon
132	2	medicin_alps|achillea millefolium|20250625110829|6.419262|45.039894	medicin_alps	71999	meda_494	short_numeric_suffix		Achillea millefolium			20250625110829	6.4192615	45.039894	looks_swapped_ch_lat_lon
133	2	medicin_alps|achillea millefolium|20250625111402|6.419175|45.03993	medicin_alps	71801	meda_000352	canonical		Achillea millefolium			20250625111402	6.419175	45.03993	looks_swapped_ch_lat_lon
133	2	medicin_alps|achillea millefolium|20250625111402|6.419175|45.03993	medicin_alps	72001	meda_496	short_numeric_suffix		Achillea millefolium			20250625111402	6.419175	45.03993	looks_swapped_ch_lat_lon
134	2	medicin_alps|achillea millefolium|20250625112108|6.419153|45.039955	medicin_alps	71803	meda_000354	canonical		Achillea millefolium			20250625112108	6.419153	45.039955	looks_swapped_ch_lat_lon
134	2	medicin_alps|achillea millefolium|20250625112108|6.419153|45.039955	medicin_alps	72003	meda_498	short_numeric_suffix		Achillea millefolium			20250625112108	6.419153	45.039955	looks_swapped_ch_lat_lon
135	2	medicin_alps|achillea millefolium|20250625113624|6.41909|45.039936	medicin_alps	71805	meda_000356	canonical		Achillea millefolium			20250625113624	6.41909	45.039936	looks_swapped_ch_lat_lon
135	2	medicin_alps|achillea millefolium|20250625113624|6.41909|45.039936	medicin_alps	72005	meda_500	short_numeric_suffix		Achillea millefolium			20250625113624	6.41909	45.039936	looks_swapped_ch_lat_lon
136	2	medicin_alps|achillea millefolium|20250625114304|6.419128|45.039986	medicin_alps	71807	meda_000358	canonical		Achillea millefolium			20250625114304	6.4191284	45.039986	looks_swapped_ch_lat_lon
136	2	medicin_alps|achillea millefolium|20250625114304|6.419128|45.039986	medicin_alps	72007	meda_502	short_numeric_suffix		Achillea millefolium			20250625114304	6.4191284	45.039986	looks_swapped_ch_lat_lon
137	2	medicin_alps|achillea millefolium|20250625115001|6.419058|45.040005	medicin_alps	71809	meda_000360	canonical		Achillea millefolium			20250625115001	6.4190583	45.040005	looks_swapped_ch_lat_lon
137	2	medicin_alps|achillea millefolium|20250625115001|6.419058|45.040005	medicin_alps	72009	meda_504	short_numeric_suffix		Achillea millefolium			20250625115001	6.4190583	45.040005	looks_swapped_ch_lat_lon
138	2	medicin_alps|achillea millefolium|20250625115607|6.419106|45.04	medicin_alps	71811	meda_000362	canonical		Achillea millefolium			20250625115607	6.4191065	45.04	looks_swapped_ch_lat_lon
138	2	medicin_alps|achillea millefolium|20250625115607|6.419106|45.04	medicin_alps	72011	meda_506	short_numeric_suffix		Achillea millefolium			20250625115607	6.4191065	45.04	looks_swapped_ch_lat_lon
139	2	medicin_alps|achillea millefolium|20250625120251|6.419065|45.040024	medicin_alps	71813	meda_000364	canonical		Achillea millefolium			20250625120251	6.419065	45.040024	looks_swapped_ch_lat_lon
139	2	medicin_alps|achillea millefolium|20250625120251|6.419065|45.040024	medicin_alps	72013	meda_508	short_numeric_suffix		Achillea millefolium			20250625120251	6.419065	45.040024	looks_swapped_ch_lat_lon
140	2	medicin_alps|achillea millefolium|20250625121018|6.419075|45.04005	medicin_alps	71815	meda_000366	canonical		Achillea millefolium			20250625121018	6.419075	45.04005	looks_swapped_ch_lat_lon
140	2	medicin_alps|achillea millefolium|20250625121018|6.419075|45.04005	medicin_alps	72015	meda_510	short_numeric_suffix		Achillea millefolium			20250625121018	6.419075	45.04005	looks_swapped_ch_lat_lon
141	2	medicin_alps|achillea millefolium|20250625121804|6.419258|45.039944	medicin_alps	71817	meda_000368	canonical		Achillea millefolium			20250625121804	6.419258	45.039944	looks_swapped_ch_lat_lon
141	2	medicin_alps|achillea millefolium|20250625121804|6.419258|45.039944	medicin_alps	72017	meda_512	short_numeric_suffix		Achillea millefolium			20250625121804	6.419258	45.039944	looks_swapped_ch_lat_lon
142	2	medicin_alps|achillea millefolium|20250625122553|6.419342|45.03995	medicin_alps	71819	meda_000370	canonical		Achillea millefolium			20250625122553	6.4193416	45.03995	looks_swapped_ch_lat_lon
142	2	medicin_alps|achillea millefolium|20250625122553|6.419342|45.03995	medicin_alps	72019	meda_514	short_numeric_suffix		Achillea millefolium			20250625122553	6.4193416	45.03995	looks_swapped_ch_lat_lon
143	2	medicin_alps|achillea millefolium|20250625123500|6.419358|45.039906	medicin_alps	71821	meda_000372	canonical		Achillea millefolium			20250625123500	6.4193583	45.039906	looks_swapped_ch_lat_lon
143	2	medicin_alps|achillea millefolium|20250625123500|6.419358|45.039906	medicin_alps	72021	meda_516	short_numeric_suffix		Achillea millefolium			20250625123500	6.4193583	45.039906	looks_swapped_ch_lat_lon
144	2	medicin_alps|achillea millefolium|20250625124133|6.419355|45.039944	medicin_alps	71823	meda_000374	canonical		Achillea millefolium			20250625124133	6.419355	45.039944	looks_swapped_ch_lat_lon
144	2	medicin_alps|achillea millefolium|20250625124133|6.419355|45.039944	medicin_alps	72023	meda_518	short_numeric_suffix		Achillea millefolium			20250625124133	6.419355	45.039944	looks_swapped_ch_lat_lon
145	2	medicin_alps|achillea millefolium|20250717095938|6.400707|45.054417	medicin_alps	72173	meda_000576	canonical		Achillea millefolium			20250717095938	6.400707	45.054417	looks_swapped_ch_lat_lon
145	2	medicin_alps|achillea millefolium|20250717095938|6.400707|45.054417	medicin_alps	72365	meda_700	short_numeric_suffix		Achillea millefolium			20250717095938	6.400707	45.054417	looks_swapped_ch_lat_lon
146	2	medicin_alps|achillea millefolium|20250717100635|6.400777|45.054424	medicin_alps	72175	meda_000578	canonical		Achillea millefolium			20250717100635	6.400777	45.054424	looks_swapped_ch_lat_lon
146	2	medicin_alps|achillea millefolium|20250717100635|6.400777|45.054424	medicin_alps	72367	meda_702	short_numeric_suffix		Achillea millefolium			20250717100635	6.400777	45.054424	looks_swapped_ch_lat_lon
147	2	medicin_alps|achillea millefolium|20250717103314|6.400758|45.05442	medicin_alps	72177	meda_000580	canonical		Achillea millefolium			20250717103314	6.4007583	45.05442	looks_swapped_ch_lat_lon
