project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status	issue
jbuf	69814	dbgi_007356	canonical	dbgi_007356				20250305094804	7.1550913	46.793182	looks_swapped_ch_lat_lon	false	true	true	false		dbgi_007356_01	no_dried_link;no_ms	downstream_lineage_without_dried_link
jbuf	69815	dbgi_007486	canonical	dbgi_007486				20250305095752	7.155091	46.79318	looks_swapped_ch_lat_lon	false	true	true	true		dbgi_007486_01	no_dried_link;has_ms	downstream_lineage_without_dried_link
jbuf	69816	dbgi_007497	canonical	dbgi_007497	Salvia nana Kunth.			20250305100716	7.1550903	46.79318	looks_swapped_ch_lat_lon	false	true	true	true		dbgi_007497_01	no_dried_link;has_ms	downstream_lineage_without_dried_link
jbuf	69832	dbgi_007416	canonical	dbgi_007416	Salvia clevelandii (A. Gray) Greene			20250305105623	7.1550803	46.793148	looks_swapped_ch_lat_lon	false	true	false	false		dbgi_007416_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbuf	69881	dbgi_007502	canonical	dbgi_007502				20250307114120	7.155023	46.793156	looks_swapped_ch_lat_lon	false	true	true	true		dbgi_007502_01	no_dried_link;has_ms	downstream_lineage_without_dried_link
jbuf	70092	dbgi_007523	canonical	dbgi_007523	Derris elliptica Benth.			20250409133702	7.1559134	46.792732	looks_swapped_ch_lat_lon	false	true	true	true		dbgi_007523_01	no_dried_link;has_ms	downstream_lineage_without_dried_link
jbuf	70093	dbgi_007811	canonical	dbgi_007811	Strophanthus hispidus D.C.			20250409134254	7.1559143	46.792706	looks_swapped_ch_lat_lon	false	true	true	true		dbgi_007811_01	no_dried_link;has_ms	downstream_lineage_without_dried_link
jbuf	70094	dbgi_007810	canonical	dbgi_007810	Erythroxylum coca Lam var. coca			20250409134909	7.1558013	46.79276	looks_swapped_ch_lat_lon	false	true	true	true		dbgi_007810_01	no_dried_link;has_ms	downstream_lineage_without_dried_link
