project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issues
droguier_jbn	74331	drog_000167	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123090952			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74332	drog_000184	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123091455			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74333	drog_000054	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123091957			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74334	drog_000197	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123092349			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74335	drog_000144	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123092625			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74336	drog_000149	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123092827			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74337	drog_000082	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093054			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74338	drog_000136	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093250			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74339	drog_000211	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093442			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74340	drog_000059	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093910			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74341	drog_000215	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123094336			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74342	drog_000067	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123094542			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74343	drog_000155	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123094751			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74344	drog_000090	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123095032			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74345	drog_000323	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123095237			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74346	drog_000105	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123095537			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74347	drog_000126	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123095805			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74348	drog_000186	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123095959			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74349	drog_000102	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123100225			missing	missing_primary_taxon_name_recovered_from_fallback
droguier_jbn	74350	drog_000301	canonical		Valeriana_officinalis_L			Valeriana_officinalis_L	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Valeriana_officinalis_L;name_proposition=Equisetum arvense	20260123105222			missing	taxon_unified_conflict
droguier_jbn	74351	drog_000056	canonical		Valeriana_officinalis_L			Valeriana_officinalis_L	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Valeriana_officinalis_L;name_proposition=Equisetum arvense	20260123105644			missing	taxon_unified_conflict
droguier_jbn	74352	drog_000147	canonical		Valeriana_officinalis_L			Valeriana_officinalis_L	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Valeriana_officinalis_L;name_proposition=Equisetum arvense	20260123105954			missing	taxon_unified_conflict
