project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issue
jbb	74329	dbgi_007867	canonical	dbgi_007867	Acacia retinodes Schltdl.			Acacia retinodes Schltdl.	taxon_name	resolved_from_primary_taxon_field	taxon_name;MatchedCanonical	taxon_name=Acacia retinodes Schltdl.;MatchedCanonical=Acacia retinodes	20251228111920	-74.10103	4.6676435	out_of_ch_range	taxon_unified_conflict
jbb	74330	dbgi_007858	canonical	dbgi_007858	Achyrocline alata (Kunth) DC.			Achyrocline alata (Kunth) DC.	taxon_name	resolved_from_primary_taxon_field	taxon_name		20251228112734	-74.101006	4.667911	out_of_ch_range	
