project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status	issue
jbp-new	76374	dbgi_012573	canonical	dbgi_012573	Quercus rubra		Quercus rubra	Quercus rubra	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702132143	14.41705	50.12274	out_of_ch_range	false	true	false	false		dbgi_012573_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76375	dbgi_012606	canonical	dbgi_012606	Quercus robur		Quercus robur	Quercus robur	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702132415	14.417005	50.122753	out_of_ch_range	false	true	false	false		dbgi_012606_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76376	dbgi_012632	canonical	dbgi_012632	Quercus robur		Quercus robur	Quercus robur	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702132604	14.417005	50.122753	out_of_ch_range	false	true	false	false		dbgi_012632_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76379	dbgi_012652	canonical	dbgi_012652	Quercus robur		Quercus robur	Quercus robur	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702133109	14.417005	50.122753	out_of_ch_range	false	true	false	false		dbgi_012652_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76380	dbgi_012586	canonical	dbgi_012586	Saxifraga rosaceae subsp. sponhemica		Saxifraga rosaceae subsp. sponhemica	Saxifraga rosaceae subsp. sponhemica	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702133732	14.412135	50.1217	out_of_ch_range	false	true	false	false		dbgi_012586_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76381	dbgi_012522	canonical	dbgi_012522	Poa riphaea		Poa riphaea	Poa riphaea	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702134206	14.412114	50.12171	out_of_ch_range	false	true	false	false		dbgi_012522_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76382	dbgi_012564	canonical	dbgi_012564	Festuca psammophila		Festuca psammophila	Festuca psammophila	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702134650	14.412102	50.12168	out_of_ch_range	false	true	false	false		dbgi_012564_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76383	dbgi_012639	canonical	dbgi_012639	Festuca psammophila		Festuca psammophila	Festuca psammophila	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702134922	14.412102	50.12168	out_of_ch_range	false	true	false	false		dbgi_012639_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76385	dbgi_012587	canonical	dbgi_012587	Cicuta maculata		Cicuta maculata	Cicuta maculata	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702135843	14.412078	50.121693	out_of_ch_range	false	true	false	false		dbgi_012587_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76386	dbgi_012558	canonical	dbgi_012558	Cicuta maculata		Cicuta maculata	Cicuta maculata	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702144219	14.412077	50.121693	out_of_ch_range	false	true	false	false		dbgi_012558_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
