project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
chemical_ecology	69909	chec_000115	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406143205	6.8633585	47.00112	looks_swapped_ch_lat_lon	47.00112	6.8633585	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69910	chec_000088	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406143914	6.8632245	47.020668	looks_swapped_ch_lat_lon	47.020668	6.8632245	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69911	chec_000093	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406145342	7.114219	46.9102	looks_swapped_ch_lat_lon	46.9102	7.114219	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69912	chec_000137	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406145833	7.114219	46.9102	looks_swapped_ch_lat_lon	46.9102	7.114219	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69914	chec_000123	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406164807	6.62089	46.92126	looks_swapped_ch_lat_lon	46.92126	6.62089	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69915	chec_000138	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406165308	6.62089	46.92126	looks_swapped_ch_lat_lon	46.92126	6.62089	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69916	chec_000096	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250406170137	6.6335697	46.923843	looks_swapped_ch_lat_lon	46.923843	6.6335697	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69917	chec_000159	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250412143710	6.8086243	47.095028	looks_swapped_ch_lat_lon	47.095028	6.8086243	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69918	chec_000073	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250412144439	6.808272	47.094025	looks_swapped_ch_lat_lon	47.094025	6.808272	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69919	chec_000237	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250412150747	6.889799	46.9319	looks_swapped_ch_lat_lon	46.9319	6.889799	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69920	chec_000129	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250412150950	6.809513	47.0968	looks_swapped_ch_lat_lon	47.0968	6.809513	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69921	chec_000164	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250411163550	7.1237817	47.090015	looks_swapped_ch_lat_lon	47.090015	7.1237817	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69922	chec_000041	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250411165345	7.1226153	47.08997	looks_swapped_ch_lat_lon	47.08997	7.1226153	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69923	chec_000184	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250411165908	7.1226435	47.09004	looks_swapped_ch_lat_lon	47.09004	7.1226435	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69924	chec_000039	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250411171331	7.1219783	47.090424	looks_swapped_ch_lat_lon	47.090424	7.1219783	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69925	chec_000059	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414113256	6.901113	46.981277	looks_swapped_ch_lat_lon	46.981277	6.901113	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69926	chec_000105	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414113600	6.901089	46.981266	looks_swapped_ch_lat_lon	46.981266	6.901089	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69927	chec_000109	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414114158	6.903578	46.981388	looks_swapped_ch_lat_lon	46.981388	6.903578	coordinates_look_swapped_ch_lat_lon
