project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
jbp-new	75978	dbgi_012342	canonical	dbgi_012342	Tripterygium regelii		Tripterygium regelii	20260528140934	14.41881	50.123238	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75979	dbgi_012362	canonical	dbgi_012362	Tripterygium regelii		Tripterygium regelii	20260528141106	14.418811	50.123238	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75980	dbgi_012273	canonical	dbgi_012273	Knautia drymeia		Knautia drymeia	20260528141724	14.419179	50.123886	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75981	dbgi_012255	canonical	dbgi_012255	Knautia drymeia		Knautia drymeia	20260528142034	14.419196	50.123894	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75982	dbgi_012323	canonical	dbgi_012323	Knautia drymeia		Knautia drymeia	20260528142335	14.419172	50.123886	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75983	dbgi_012364	canonical	dbgi_012364	Knautia drymeia		Knautia drymeia	20260528142649	14.419185	50.12389	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75984	dbgi_012263	canonical	dbgi_012263	Saxifraga umbrosa		Saxifraga umbrosa	20260528143126	14.41923	50.123875	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75985	dbgi_012222	canonical	dbgi_012222	Saxifraga umbrosa		Saxifraga umbrosa	20260528143248	14.419247	50.123894	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75986	dbgi_012227	canonical	dbgi_012227	Saxifraga umbrosa		Saxifraga umbrosa	20260528143356	14.419265	50.123898	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75987	dbgi_012339	canonical	dbgi_012339	Saxifraga umbrosa		Saxifraga umbrosa	20260528143529	14.41924	50.123894	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75988	dbgi_012319	canonical	dbgi_012319	Deinanthe caerulea		Deinanthe caerulea	20260528143822	14.41925	50.12386	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75989	dbgi_012297	canonical	dbgi_012297	Deinanthe caerulea		Deinanthe caerulea	20260528143950	14.419269	50.12387	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75990	dbgi_012279	canonical	dbgi_012279	Deinanthe caerulea		Deinanthe caerulea	20260528144043	14.419262	50.12386	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75991	dbgi_012275	canonical	dbgi_012275	Astrantia major		Astrantia major	20260528144302	14.419067	50.12389	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75992	dbgi_011982	canonical	dbgi_011982	Astrantia major		Astrantia major	20260528144508	14.419067	50.12389	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75993	dbgi_012322	canonical	dbgi_012322	Astrantia major		Astrantia major	20260528144638	14.419089	50.123898	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75994	dbgi_012288	canonical	dbgi_012288	Matteuccia struthiopteris		Matteuccia struthiopteris	20260528144938	14.4186735	50.12387	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75995	dbgi_012320	canonical	dbgi_012320	Matteuccia struthiopteris		Matteuccia struthiopteris	20260528145129	14.418602	50.123833	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75996	dbgi_011910	canonical	dbgi_011910	Matteuccia struthiopteris		Matteuccia struthiopteris	20260528145313	14.418602	50.123833	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75997	dbgi_012072	canonical	dbgi_012072	Dicksonia squarrosa		Dicksonia squarrosa	20260528150304	14.418669	50.12413	out_of_ch_range	coordinates_out_of_ch_range
