project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status
jbp	74213	dbgi_009818	canonical	dbgi_009818	Artemisia santonicum			20250818102303	14.414769	50.11836	out_of_ch_range	true	false	false	false	dbgi_009818		not_extracted
jbp	74214	dbgi_009853	canonical	dbgi_009853	Artemisia dracunculus			20250818102554	14.414895	50.118736	out_of_ch_range	true	false	false	false	dbgi_009853		not_extracted
jbp	74215	dbgi_009850	canonical	dbgi_009850	Artemisia dracunculus			20250818102935	14.414895	50.118736	out_of_ch_range	true	false	false	false	dbgi_009850		not_extracted
jbp	74216	dbgi_009825	canonical	dbgi_009825	Artemisia abrotanum			20250818103208	14.41499	50.11879	out_of_ch_range	true	false	false	false	dbgi_009825		not_extracted
jbp	74217	dbgi_009910	canonical	dbgi_009910	Artemisia abrotanum			20250818103609	14.41499	50.11879	out_of_ch_range	true	false	false	false	dbgi_009910		not_extracted
jbp	74218	dbgi_009872	canonical	dbgi_009872	Artemisia absinthium			20250818103921	14.414989	50.118793	out_of_ch_range	true	false	false	false	dbgi_009872		not_extracted
jbp	74219	dbgi_009870	canonical	dbgi_009870	Artemisia absinthium			20250818104214	14.414989	50.118793	out_of_ch_range	true	false	false	false	dbgi_009870		not_extracted
jbp	74220	dbgi_009880	canonical	dbgi_009880	Inula hirta			20250818120109	14.415007	50.119648	out_of_ch_range	true	false	false	false	dbgi_009880		not_extracted
jbp	74221	dbgi_009893	canonical	dbgi_009893	Inula hirta			20250818120622	14.415007	50.119648	out_of_ch_range	true	false	false	false	dbgi_009893		not_extracted
jbp	74222	dbgi_009906	canonical	dbgi_009906	Inula hirta			20250818121137	14.415007	50.119648	out_of_ch_range	true	false	false	false	dbgi_009906		not_extracted
jbp	74223	dbgi_009841	canonical	dbgi_009841	Inula oculus-christi			20250818121552	14.415001	50.119663	out_of_ch_range	true	true	false	false	dbgi_009841	dbgi_009841_01	no_aliquot;no_ms
