project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status	issue
droguier_jbn	74331	drog_000167	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123090952			missing	false	true	false	false		drog_000167_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74332	drog_000184	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123091455			missing	false	true	false	false		drog_000184_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74333	drog_000054	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123091957			missing	false	true	false	false		drog_000054_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74334	drog_000197	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123092349			missing	false	true	false	false		drog_000197_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74335	drog_000144	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123092625			missing	false	true	false	false		drog_000144_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74336	drog_000149	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123092827			missing	false	true	false	false		drog_000149_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74337	drog_000082	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093054			missing	false	true	false	false		drog_000082_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74338	drog_000136	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093250			missing	false	true	false	false		drog_000136_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74339	drog_000211	canonical					Arctostaphylos uva-ursi	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093442			missing	false	true	false	false		drog_000211_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
droguier_jbn	74340	drog_000059	canonical					Equisetum arvense	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260123093910			missing	false	true	false	false		drog_000059_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
