project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
bioblitz_vinesch	67632	vine_000487	canonical		Poaceae			Poaceae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608115711	7.8743887	46.261642	looks_swapped_ch_lat_lon	46.261642	7.8743887	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67633	vine_000500	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120320	7.8743887	46.261642	looks_swapped_ch_lat_lon	46.261642	7.8743887	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67634	vine_000495	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120822	7.8743887	46.261642	looks_swapped_ch_lat_lon	46.261642	7.8743887	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67635	vine_000484	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608122844	7.874253	46.261707	looks_swapped_ch_lat_lon	46.261707	7.874253	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67636	vine_000483	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123517	7.8741713	46.261707	looks_swapped_ch_lat_lon	46.261707	7.8741713	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67637	vine_000488	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123842	7.874155	46.26171	looks_swapped_ch_lat_lon	46.26171	7.874155	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67638	vine_000491	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608124459	7.8741455	46.261726	looks_swapped_ch_lat_lon	46.261726	7.8741455	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67639	vine_000492	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125014	7.8741217	46.261757	looks_swapped_ch_lat_lon	46.261757	7.8741217	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67640	vine_000494	canonical		Prunus			Prunus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125650	7.874157	46.261745	looks_swapped_ch_lat_lon	46.261745	7.874157	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67641	vine_000496	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130045	7.8741603	46.26174	looks_swapped_ch_lat_lon	46.26174	7.8741603	coordinates_look_swapped_ch_lat_lon
