project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issues
jbc	71050	dbgi_006623	canonical	dbgi_006623				20250605125313	7.112464	46.032936	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71051	dbgi_006629	canonical	dbgi_006629				20250605125502	7.112472	46.03293	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71057	dbgi_006625	canonical	dbgi_006625				20250605130737	7.1125116	46.0329	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71059	dbgi_006646	canonical	dbgi_006646				20250605131051	7.1125107	46.03291	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71063	dbgi_004150	canonical	dbgi_004150				20250605135343	7.1125126	46.03292	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71073	dbgi_006614	canonical	dbgi_006614				20250605142641	7.112361	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71076	dbgi_006749	canonical	dbgi_006749				20250605144005	7.112368	46.03297	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71077	dbgi_006786	canonical	dbgi_006786				20250605144306	7.112385	46.03296	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71086	dbgi_006959	canonical	dbgi_006959				20250605150525	7.1124005	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71087	dbgi_007002	canonical	dbgi_007002				20250611082055	7.112593	46.03295	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71093	dbgi_006808	canonical	dbgi_006808				20250611083640	7.112607	46.032932	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71097	dbgi_006880	canonical	dbgi_006880				20250611085520	7.1126266	46.03294	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71106	dbgi_006700	canonical	dbgi_006700				20250611082210	7.1124167	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71115	dbgi_006914	canonical	dbgi_006914				20250611085712	7.1125054	46.032963	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71128	dbgi_006892	canonical	dbgi_006892				20250611102624	7.1124477	46.032963	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71129	dbgi_006869	canonical	dbgi_006869				20250611102857	7.112446	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71132	dbgi_006809	canonical	dbgi_006809				20250611103524	7.1124225	46.03297	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71133	dbgi_006812	canonical	dbgi_006812				20250611104018	7.112419	46.032974	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71135	dbgi_006832	canonical	dbgi_006832				20250611104825	7.1124015	46.032974	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71137	dbgi_006784	canonical	dbgi_006784				20250611105434	7.1123843	46.032978	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71148	dbgi_004164	canonical	dbgi_004164				20250611112522	7.1124997	46.032974	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71149	dbgi_006594	canonical	dbgi_006594				20250611112714	7.112503	46.032986	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71152	dbgi_004124	canonical	dbgi_004124				20250611113407	7.1125293	46.032974	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71158	dbgi_004153	canonical	dbgi_004153				20250611114527	7.112554	46.03297	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71167	dbgi_006919	canonical	dbgi_006919				20250611102335	7.1126037	46.032944	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71168	dbgi_006906	canonical	dbgi_006906				20250611102537	7.1126337	46.03293	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71177	dbgi_006649	canonical	dbgi_006649				20250611105110	7.1126294	46.03294	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71178	dbgi_006771	canonical	dbgi_006771				20250611105346	7.112642	46.03295	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71181	dbgi_006720	canonical	dbgi_006720				20250611111004	7.1126585	46.03294	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71195	dbgi_006915	canonical	dbgi_006915				20250611125734	7.11272	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71209	dbgi_006822	canonical	dbgi_006822				20250611133657	7.1128097	46.032925	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71216	dbgi_007007	canonical	dbgi_007007				20250611124551	7.1126013	46.032978	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71226	dbgi_006730	canonical	dbgi_006730				20250611131346	7.1126704	46.03297	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71229	dbgi_004182	canonical	dbgi_004182				20250611131912	7.112718	46.032967	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	71236	dbgi_006883	canonical	dbgi_006883				20250611133629	7.1127386	46.032978	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72548	dbgi_008422	canonical	dbgi_008422				20250625100221	7.1130457	46.032677	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72570	dbgi_008386	canonical	dbgi_008386				20250625113133	7.11348	46.03264	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72589	dbgi_23	short_numeric_suffix	dbgi_000023				20250625100221	7.1130457	46.032677	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72611	dbgi_45	short_numeric_suffix	dbgi_000045				20250625113133	7.11348	46.03264	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72621	dbgi_48	short_numeric_suffix	dbgi_000048				20250625093007	7.1130853	46.03262	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72623	dbgi_008484	canonical	dbgi_008484				20250625093423	7.1130934	46.032623	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72624	dbgi_008479	canonical	dbgi_008479				20250625093736	7.1130924	46.03262	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72644	dbgi_008582	canonical	dbgi_008582				20250625104818	7.1132317	46.03257	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72649	dbgi_008515	canonical	dbgi_008515				20250625110240	7.113254	46.03257	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72651	dbgi_008491	canonical	dbgi_008491				20250625110952	7.1133523	46.03261	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72655	dbgi_008561	canonical	dbgi_008561				20250625112705	7.113324	46.0326	looks_swapped_ch_lat_lon	missing_taxon_name
jbc	72687	dbgi_72	short_numeric_suffix	dbgi_000072				20250625100221	7.1130457	46.032677	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72709	dbgi_94	short_numeric_suffix	dbgi_000094				20250625113133	7.11348	46.03264	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72719	dbgi_104	short_numeric_suffix	dbgi_000104				20250625093007	7.1130853	46.03262	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72721	dbgi_106	short_numeric_suffix	dbgi_000106				20250625093423	7.1130934	46.032623	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
jbc	72722	dbgi_107	short_numeric_suffix	dbgi_000107				20250625093736	7.1130924	46.03262	looks_swapped_ch_lat_lon	sample_id_short_numeric_suffix;missing_taxon_name
