group_id	group_size	fingerprint	project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status
92	4	jbc||20250715091919|7.113394|46.03276	jbc	73278	dbgi_362	short_numeric_suffix	dbgi_000362				20250715091919	7.1133943	46.03276	looks_swapped_ch_lat_lon
93	4	jbc||20250715092516|7.113348|46.032734	jbc	72996	dbgi_006681	canonical	dbgi_006681				20250715092516	7.113348	46.032734	looks_swapped_ch_lat_lon
93	4	jbc||20250715092516|7.113348|46.032734	jbc	73051	dbgi_205	short_numeric_suffix	dbgi_000205				20250715092516	7.113348	46.032734	looks_swapped_ch_lat_lon
93	4	jbc||20250715092516|7.113348|46.032734	jbc	73155	dbgi_260	short_numeric_suffix	dbgi_000260				20250715092516	7.113348	46.032734	looks_swapped_ch_lat_lon
93	4	jbc||20250715092516|7.113348|46.032734	jbc	73280	dbgi_364	short_numeric_suffix	dbgi_000364				20250715092516	7.113348	46.032734	looks_swapped_ch_lat_lon
94	4	jbc||20250715092745|7.113337|46.032745	jbc	72997	dbgi_006683	canonical	dbgi_006683				20250715092745	7.113337	46.032745	looks_swapped_ch_lat_lon
94	4	jbc||20250715092745|7.113337|46.032745	jbc	73052	dbgi_206	short_numeric_suffix	dbgi_000206				20250715092745	7.113337	46.032745	looks_swapped_ch_lat_lon
94	4	jbc||20250715092745|7.113337|46.032745	jbc	73156	dbgi_261	short_numeric_suffix	dbgi_000261				20250715092745	7.113337	46.032745	looks_swapped_ch_lat_lon
94	4	jbc||20250715092745|7.113337|46.032745	jbc	73281	dbgi_365	short_numeric_suffix	dbgi_000365				20250715092745	7.113337	46.032745	looks_swapped_ch_lat_lon
95	4	jbc||20250715093654|7.113338|46.03276	jbc	73000	dbgi_006675	canonical	dbgi_006675				20250715093654	7.113338	46.03276	looks_swapped_ch_lat_lon
95	4	jbc||20250715093654|7.113338|46.03276	jbc	73055	dbgi_209	short_numeric_suffix	dbgi_000209				20250715093654	7.113338	46.03276	looks_swapped_ch_lat_lon
95	4	jbc||20250715093654|7.113338|46.03276	jbc	73159	dbgi_264	short_numeric_suffix	dbgi_000264				20250715093654	7.113338	46.03276	looks_swapped_ch_lat_lon
95	4	jbc||20250715093654|7.113338|46.03276	jbc	73284	dbgi_368	short_numeric_suffix	dbgi_000368				20250715093654	7.113338	46.03276	looks_swapped_ch_lat_lon
96	4	jbc||20250715094018|7.113326|46.032734	jbc	73001	dbgi_006678	canonical	dbgi_006678				20250715094018	7.113326	46.032734	looks_swapped_ch_lat_lon
96	4	jbc||20250715094018|7.113326|46.032734	jbc	73056	dbgi_210	short_numeric_suffix	dbgi_000210				20250715094018	7.113326	46.032734	looks_swapped_ch_lat_lon
