qfield_project	collected	profiled	positive	negative	both
artemisia_absinthium	495	0	0	0	0
bioblitz_vinesch	257	244	0	0	244
champex_gradient	392	0	0	0	0
chemical_ecology	183	0	0	0	0
droguier_jbn	527	0	0	0	0
emi	9	0	0	0	0
heloise_bachelor_FiBL	109	108	0	0	108
jbb	2	0	0	0	0
jbc	2076	0	0	0	0
jbn	1299	0	0	0	0
jbp	94	0	0	0	0
jbuf	2540	1170	11	0	1159
kew-botanical-gardens	635	0	0	0	0
medicin_alps	1221	0	0	0	0
sandbox	1	0	0	0	0
sbl_20004	37	26	12	0	14
