"filename","sample_id","Sp","Type","Family","latitude","x_coord","y_coord","date_updated","user_created","id","date_created","longitude","geometry.type","geometry.coordinates","collector_fullname","observation_subject","inat_upload","is_wild","taxon_name","no_name_on_list","picture_panel","picture_general","picture_detail","picture_cut","picture_panel_label","collector_orcid","collector_inat","qfield_project","picture_free","comment_eco","weather","sample_name","name_proposition","ipen","match_name","ott_id","rank","wikidataID","unknown","comment_env","herbivory_percent","temperature_.C","date","soil_type","catalogue_number"
"20260115_lysandre_sample_meda_000263_01.mzML","meda_000263","Patzkea","com","Poaceae",6.419353,969166.94,6443676,"2026-07-21T12:11:05.087Z","053e0368-4ed8-4569-a070-81a22ad13957",71452,"2025-08-12T11:48:48.280Z",45.03987,"Point","[6.419352798015768,45.03987035164589]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000263_01.jpg","DCIM/meda_collection/Na_meda_000263_02.jpg","DCIM/meda_collection/Na_meda_000263_03.jpg","DCIM/meda_collection/Na_meda_000263_04.jpg","DCIM/meda_collection/Na_meda_000263_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 262",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250624142039,NA,NA
"20260115_lysandre_sample_meda_000169_01.mzML","meda_000169","Geum","com","Rosaceae",6.419085,969145.44,6443686,"2026-07-21T12:11:04.414Z","053e0368-4ed8-4569-a070-81a22ad13957",71358,"2025-08-12T11:48:45.383Z",45.039967,"Point","[6.419085077857827,45.03996836430674]","Lysandre Journiac","Leaf",1,1,"",1,"DCIM/meda_collection/NA_meda_000169_01.jpg","DCIM/meda_collection/NA_meda_000169_02.jpg","DCIM/meda_collection/NA_meda_000169_03.jpg","DCIM/meda_collection/NA_meda_000169_04.jpg","DCIM/meda_collection/NA_meda_000169_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"Com 168",NA,NA,"NAo","",NA,NA,NA,NA,NA,NA,NA,NA,20250623131256,NA,NA
"20260115_lysandre_sample_meda_000395_01.mzML","meda_000395","Carex","com","Cyperaceae",6.400322,967600.2,6445227,"2026-07-21T12:11:08.798Z","053e0368-4ed8-4569-a070-81a22ad13957",72424,"2025-08-12T11:49:15.514Z",45.054432,"Point","[6.400321811014736,45.05443339420845]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000395_01.jpg","DCIM/meda_collection/Na_meda_000395_02.jpg","DCIM/meda_collection/Na_meda_000395_03.jpg","DCIM/meda_collection/Na_meda_000395_04.jpg","DCIM/meda_collection/Na_meda_000395_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 394",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250715133458,NA,NA
"20260115_lysandre_sample_meda_000280_01.mzML","meda_000280","Patzkea","indiv","Poaceae",6.419113,969147.5,6443690.5,"2026-07-21T12:11:05.970Z","053e0368-4ed8-4569-a070-81a22ad13957",71619,"2025-08-12T11:48:52.526Z",45.04001,"Point","[6.419113333333334,45.04000666666666]","Lysandre Journiac","Leaf",0,0,"Patzkea paniculata",0,"DCIM/meda_collection/Patzkea paniculata_meda_000280_01.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000280_02.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000280_03.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000280_04.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000280_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250624143928,NA,NA
"20260115_lysandre_sample_meda_000306_01.mzML","meda_000306","Centaurea","indiv","Asteraceae",6.4193916,969170.06,6443676,"2025-08-14T14:01:12.000Z","053e0368-4ed8-4569-a070-81a22ad13957",72035,"2025-08-12T11:49:04.400Z",45.039867,"Point","[6.419391718231289,45.03986864643568]","Loic Chalmandrier","Leaf",0,0,"Centaurea uniflora",0,"DCIM/meda_collection/Centaurea uniflora_meda_000306_01.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000306_02.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000306_03.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000306_04.jpg","DCIM/meda_collection/Centaurea uniflora_meda_000306_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250625105427,NA,NA
"20260115_lysandre_sample_meda_000284_01.mzML","meda_000284","Patzkea","indiv","Poaceae",6.41901,969139.3,6443691,"2026-07-21T12:11:05.920Z","053e0368-4ed8-4569-a070-81a22ad13957",71615,"2025-08-12T11:48:52.425Z",45.040016,"Point","[6.419009999999998,45.040016666666666]","Lysandre Journiac","Leaf",0,0,"Patzkea paniculata",0,"DCIM/meda_collection/Patzkea paniculata_meda_000284_01.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000284_02.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000284_03.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000284_04.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000284_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250624142507,NA,NA
"20260115_lysandre_sample_meda_000278_01.mzML","meda_000278","Patzkea","indiv","Poaceae",6.4190917,969145.94,6443686.5,"2026-07-21T12:11:05.994Z","053e0368-4ed8-4569-a070-81a22ad13957",71621,"2025-08-12T11:48:52.576Z",45.039974,"Point","[6.419091666666662,45.03997333333332]","Lysandre Journiac","Leaf",0,0,"Patzkea paniculata",0,"DCIM/meda_collection/Patzkea paniculata_meda_000278_01.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000278_02.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000278_03.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000278_04.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000278_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250624144552,NA,NA
"20260115_lysandre_sample_meda_000502_01.mzML","meda_000502","Patzkea","indiv","Poaceae",6.4007206,967631.56,6445228.5,"2025-08-14T14:01:23.357Z","053e0368-4ed8-4569-a070-81a22ad13957",72431,"2025-08-12T11:49:15.759Z",45.054432,"Point","[6.400720699229519,45.0544312821631]","Loic Chalmandrier","Leaf",0,0,"Patzkea paniculata",0,"DCIM/meda_collection/Patzkea paniculata_meda_000502_01.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000502_02.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000502_03.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000502_04.jpg","DCIM/meda_collection/Patzkea paniculata_meda_000502_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250716101934,NA,NA
"20260115_lysandre_sample_meda_000543_01.mzML","meda_000543","Centaurea","com","Asteraceae",6.400707,967630.44,6445228,"2026-07-21T12:11:09.669Z","053e0368-4ed8-4569-a070-81a22ad13957",72492,"2025-08-12T11:49:17.806Z",45.05443,"Point","[6.400706644411013,45.054429582953134]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000543_01.jpg","DCIM/meda_collection/Na_meda_000543_02.jpg","DCIM/meda_collection/Na_meda_000543_03.jpg","DCIM/meda_collection/Na_meda_000543_04.jpg","DCIM/meda_collection/Na_meda_000543_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 542",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250717101659,NA,NA
"20260115_lysandre_sample_meda_000170_01.mzML","meda_000170","Geum","indiv","Rosaceae",6.4189935,969138,6443691,"2026-07-21T12:11:04.437Z","053e0368-4ed8-4569-a070-81a22ad13957",71359,"2025-08-12T11:48:45.417Z",45.04002,"Point","[6.418993411191179,45.0400183643068]","Lysandre Journiac","Leaf",0,0,"Geum montanum ",0,"DCIM/meda_collection/Geum montanum _meda_000170_01.jpg","DCIM/meda_collection/Geum montanum _meda_000170_02.jpg","DCIM/meda_collection/Geum montanum _meda_000170_03.jpg","DCIM/meda_collection/Geum montanum _meda_000170_04.jpg","DCIM/meda_collection/Geum montanum _meda_000170_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250623132011,NA,NA
"20260115_lysandre_sample_meda_000168_01.mzML","meda_000168","Geum","indiv","Rosaceae",6.4190416,969142,6443686,"2026-07-21T12:11:04.390Z","053e0368-4ed8-4569-a070-81a22ad13957",71357,"2025-08-12T11:48:45.341Z",45.039967,"Point","[6.419041744524466,45.039968364306766]","Lysandre Journiac","Leaf",0,0,"Geum montanum ",0,"DCIM/meda_collection/Geum montanum _meda_000168_01.jpg","DCIM/meda_collection/Geum montanum _meda_000168_02.jpg","DCIM/meda_collection/Geum montanum _meda_000168_03.jpg","DCIM/meda_collection/Geum montanum _meda_000168_04.jpg","DCIM/meda_collection/Geum montanum _meda_000168_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250623131111,NA,NA
"20260115_lysandre_sample_meda_000325_01.mzML","meda_000325","Centaurea","com","Asteraceae",6.419021,969140.1,6443692,"2026-07-21T12:11:06.936Z","053e0368-4ed8-4569-a070-81a22ad13957",72054,"2025-08-12T11:49:04.887Z",45.040024,"Point","[6.419021152330434,45.04002385925728]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000325_01.jpg","DCIM/meda_collection/Na_meda_000325_02.jpg","DCIM/meda_collection/Na_meda_000325_03.jpg","DCIM/meda_collection/Na_meda_000325_04.jpg","DCIM/meda_collection/Na_meda_000325_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 324",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250625121853,NA,NA
"20260115_lysandre_sample_meda_000348_01.mzML","meda_000348","Achillea","indiv","Asteraceae",6.419255,969159.25,6443676.5,"2026-07-21T12:11:06.212Z","053e0368-4ed8-4569-a070-81a22ad13957",71797,"2025-08-12T11:48:57.617Z",45.039875,"Point","[6.419255000000001,45.03987666666667]","Lysandre Journiac","Leaf",0,0,"Achillea millefolium",0,"DCIM/meda_collection/Achillea millefolium_meda_000348_01.jpg","DCIM/meda_collection/Achillea millefolium_meda_000348_02.jpg","DCIM/meda_collection/Achillea millefolium_meda_000348_03.jpg","DCIM/meda_collection/Achillea millefolium_meda_000348_04.jpg","DCIM/meda_collection/Achillea millefolium_meda_000348_05.jpg","0009-0008-4179-5600","","medicin_alps",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,20250625110250,NA,NA
"20260115_lysandre_sample_meda_000303_01.mzML","meda_000303","Centaurea","com","Asteraceae",6.419411,969171.6,6443674.5,"2026-07-21T12:11:06.670Z","053e0368-4ed8-4569-a070-81a22ad13957",72032,"2025-08-12T11:49:04.324Z",45.039852,"Point","[6.419411120331007,45.03985292674564]","Loic Chalmandrier","Leaf",1,1,"",1,"DCIM/meda_collection/Na_meda_000303_01.jpg","DCIM/meda_collection/Na_meda_000303_02.jpg","DCIM/meda_collection/Na_meda_000303_03.jpg","DCIM/meda_collection/Na_meda_000303_04.jpg","DCIM/meda_collection/Na_meda_000303_05.jpg","0000-0002-2631-0432","Charmander88","medicin_alps",NA,"Com 302",NA,NA,"Na","",NA,NA,NA,NA,NA,NA,NA,NA,20250625104253,NA,NA
