qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
jbc	dbgi_007054	20262605_dbgi_007054_01	4396	dbgi_007054_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arnica montana	Arnica montana	
jbc	dbgi_007055	20262605_dbgi_007055_01	4413	dbgi_007055_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum tectorum	Sempervivum tectorum	
jbc	dbgi_007061	20262605_dbgi_007061_01	4451	dbgi_007061_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Iris missouriensis	Iris missouriensis	
jbc	dbgi_007080	20262605_dbgi_007080_01	4440	dbgi_007080_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Campanula barbata	Campanula barbata	
jbc	dbgi_007126	20262605_dbgi_007126_01	4435	dbgi_007126_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Saxifraga paniculata	Saxifraga paniculata	
jbc	dbgi_007170	20262605_dbgi_007170_01	4363	dbgi_007170_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Carlina acaulis	Carlina acaulis	
jbc	dbgi_008380	20260903_Mazz_Sample_dbgi_008380_01	4479	dbgi_008380_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sedum reflexum	Sedum reflexum	
jbc	dbgi_008384	20262605_dbgi_008384_01	4431	dbgi_008384_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Astrantia major	Astrantia major	
jbc	dbgi_008391	20261003_Mazz_Sample_dbgi_008391_01	4474	dbgi_008391_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Achillea millefolium	Achillea millefolium	
jbc	dbgi_008409	20261003_Mazz_Sample_dbgi_008409_01	4473	dbgi_008409_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arctostaphylos uva-ursi	Arctostaphylos uva-ursi	
jbc	dbgi_008409	20262605_dbgi_008409_02_01	4403	dbgi_008409_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arctostaphylos uva-ursi	Arctostaphylos uva-ursi	
jbc	dbgi_008411	20261003_Mazz_Sample_dbgi_008411_01	4472	dbgi_008411_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus pulegioides	Thymus pulegioides	
jbc	dbgi_008417	20261303_Mazz_Sample_dbgi_008417_01	4457	dbgi_008417_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Viola riviniana	Viola riviniana	
jbc	dbgi_008418	20261103_Mazz_Sample_dbgi_008418_01	4467	dbgi_008418_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Artemisia vulgaris	Artemisia vulgaris	
jbc	dbgi_008419	20262605_dbgi_008419_01	4432	dbgi_008419_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Aegopodium podagraria	Aegopodium podagraria	
jbc	dbgi_008424	20262605_dbgi_008424_01	4383	dbgi_008424_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Saxifraga paniculata	Saxifraga paniculata	
jbc	dbgi_008425	20261203_Mazz_Sample_dbgi_008425_01	4465	dbgi_008425_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Secale cereale		
jbc	dbgi_008427	20261203_Mazz_Sample_dbgi_008427_01	4464	dbgi_008427_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Lonicera caerulea	Lonicera caerulea	
jbc	dbgi_008429	20261103_Mazz_Sample_dbgi_008429_01	4466	dbgi_008429_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hypericum perforatum	Hypericum perforatum	
jbc	dbgi_008429	20261203_Mazz_Sample_dbgi_008429_02_01	4463	dbgi_008429_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hypericum perforatum	Hypericum perforatum	
jbc	dbgi_008432	20262605_dbgi_008432_01	4434	dbgi_008432_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium vitis-idaea	Vaccinium vitis-idaea	
jbc	dbgi_008447	20261003_Mazz_Sample_dbgi_008447_01	4471	dbgi_008447_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Astragalus alopecurus	Astragalus alopecurus	
jbc	dbgi_008458	20262605_dbgi_008458_01	4377	dbgi_008458_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium vitis-idaea	Vaccinium vitis-idaea	
jbc	dbgi_008461	20262605_dbgi_008461_01	4362	dbgi_008461_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arctostaphylus uva-ursi	Arctostaphylus uva-ursi	
jbc	dbgi_008463	20261003_Mazz_Sample_dbgi_008463_01	4470	dbgi_008463_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Potentilla rupestris	Potentilla rupestris	
jbc	dbgi_008471	20261003_Mazz_Sample_dbgi_008471_01	4469	dbgi_008471_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Digitalis purpurea	Digitalis purpurea	
jbc	dbgi_008477	20261203_Mazz_Sample_dbgi_008477_01	4462	dbgi_008477_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Pulsatilla vulgaris	Pulsatilla vulgaris	
jbc	dbgi_008480	20261203_Mazz_Sample_dbgi_008480_01	4461	dbgi_008480_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Pinus mugo	Pinus mugo	
jbc	dbgi_008482	20261203_Mazz_Sample_dbgi_008482_01	4460	dbgi_008482_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Solanum tuberosum		
jbc	dbgi_008485	20261203_Mazz_Sample_dbgi_008485_01	4459	dbgi_008485_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium myrtillus	Vaccinium myrtillus	
jbc	dbgi_008485	20261203_Mazz_Sample_dbgi_008485_02_01	4458	dbgi_008485_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Vaccinium myrtillus	Vaccinium myrtillus	
jbc	dbgi_008486	20262605_dbgi_008486_01	4390	dbgi_008486_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Dryas octopetala	Dryas octopetala	
jbc	dbgi_008496	20260903_Mazz_Sample_dbgi_008496_01	4478	dbgi_008496_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Digitalis grandiflora	Digitalis grandiflora	
jbc	dbgi_008497	20261003_Mazz_Sample_dbgi_008497_01	4468	dbgi_008497_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Aillium hymenorrhizum,	Aillium hymenorrhizum,	
jbc	dbgi_008498	20261303_Mazz_Sample_dbgi_008498_02_01	4456	dbgi_008498_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hyssopus officinalis	Hyssopus officinalis	
jbc	dbgi_008505	20260903_Mazz_Sample_dbgi_008505_01	4477	dbgi_008505_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Thymus nitens	Thymus nitens	
jbc	dbgi_008506	20261303_Mazz_Sample_dbgi_008506_02_01	4455	dbgi_008506_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Satureja montana	Satureja montana	
jbc	dbgi_008531	20260903_Mazz_Sample_dbgi_008531_01	4476	dbgi_008531_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Lavandula angustifolia	Lavandula angustifolia	
jbc	dbgi_008573	20262605_dbgi_008573_01	4387	dbgi_008573_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rhododendron ferrugineum	Rhododendron ferrugineum	
jbc	dbgi_008600	20262605_dbgi_008600_01	4375	dbgi_008600_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum montanum	Sempervivum montanum	
jbc	dbgi_008601	20262605_dbgi_008601_01	4443	dbgi_008601_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervivum tectorum	Sempervivum tectorum	
jbc	dbgi_008625	20260903_Mazz_Sample_dbgi_008625_01	4475	dbgi_008625_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Horreur vulgare		
jbc	dbgi_008629	20262605_dbgi_008629_01	4400	dbgi_008629_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Dryas octopetala	Dryas octopetala	
jbc	dbgi_008634	20262605_dbgi_008634_01	4361	dbgi_008634_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Juniperus communis	Juniperus communis	
jbc	dbgi_008635	20262605_dbgi_008635_01	4402	dbgi_008635_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Hippocrepis comosa	Hippocrepis comosa	
jbc	dbgi_008691	20262605_dbgi_008691_01	4373	dbgi_008691_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rhododendron ferrugineum	Rhododendron ferrugineum	
jbc	dbgi_008722	20262605_dbgi_008722_01	4385	dbgi_008722_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Astrantia major	Astrantia major	
jbc	dbgi_008755	20262605_dbgi_008755_01	4359	dbgi_008755_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Picea abies	Picea abies	
jbc	dbgi_008778	20262605_dbgi_008778_01	4448	dbgi_008778_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Rhododendron ferrugineum	Rhododendron ferrugineum	
jbc	dbgi_008786	20262605_dbgi_008786_01	4421	dbgi_008786_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Saxifraga paniculata	Saxifraga paniculata	
jbc	dbgi_008789	20262605_dbgi_008789_01	4445	dbgi_008789_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Prunus avium	Prunus avium	
jbc	dbgi_008797	20262605_dbgi_008797_01	4380	dbgi_008797_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Arctostaphylos uva-ursi	Arctostaphylos uva-ursi	
jbc	dbgi_008811	20262605_dbgi_008811_01	4452	dbgi_008811_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Juniperus communis	Juniperus communis	
jbc	dbgi_008833	20262605_dbgi_008833_01	4404	dbgi_008833_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Sempervirum tectorum	Sempervirum tectorum	
jbc	dbgi_008834	20262605_dbgi_008834_01	4418	dbgi_008834_01	extraction_to_original_sample	resolved	HSST3_ddMS2_pos	Picea abies	Picea abies	
