qfield_project	sample_id	ms_filename	ms_data_id	ms_parent_container_id	resolution_path	resolution_status	injection_method	taxon_name_unified	taxon_name	sample_name
jbp	dbgi_012058	20260427_144110_KK_general_ms2_pos_dbgi_012058_01_01	3469	dbgi_012058_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Solandra maxima	Solandra maxima	
jbp	dbgi_012061	20260427_144110_KK_general_ms2_pos_dbgi_012061_01_01	3458	dbgi_012061_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Anodendron affine	Anodendron affine	
jbp	dbgi_012106	20260427_144110_KK_general_ms2_pos_dbgi_012106_01_01	3461	dbgi_012106_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Boquila trifoliata		
jbp	dbgi_012107	20260427_144110_KK_general_ms2_pos_dbgi_012107_01_01	3467	dbgi_012107_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Utricularia alpina	Utricularia alpina	
jbp	dbgi_012108	20260427_144110_KK_general_ms2_pos_dbgi_012108_01_01	3459	dbgi_012108_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Heliamphora parva	Heliamphora parva	
jbp	dbgi_012109	20260427_144110_KK_general_ms2_pos_dbgi_012109_01_01	3454	dbgi_012109_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Sarracenia flava	Sarracenia flava	
jbp	dbgi_012110	20260427_144110_KK_general_ms2_pos_dbgi_012110_01_01	3468	dbgi_012110_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Darlingtonia californica	Darlingtonia californica	
jbp	dbgi_012111	20260427_144110_KK_general_ms2_pos_dbgi_012111_01_01	3452	dbgi_012111_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Carpobrotus edulis	Carpobrotus edulis	
jbp	dbgi_012112	20260427_144110_KK_general_ms2_pos_dbgi_012112_01_01	3460	dbgi_012112_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Myrsine africana	Myrsine africana	
jbp	dbgi_012116	20260427_144110_KK_general_ms2_pos_dbgi_012116_01_01	3466	dbgi_012116_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Drimys winteri	Drimys winteri	
jbp	dbgi_012141	20260427_115339_KK_general_ms2_pos_dbgi_012141_01_01	3439	dbgi_012141_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos		Calluna vulgaris	
jbp	dbgi_012143	20260427_144110_KK_general_ms2_pos_dbgi_012143_01_01	3472	dbgi_012143_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Gaultheria antipoda		
jbp	dbgi_012144	20260427_144110_KK_general_ms2_pos_dbgi_012144_01_01	3465	dbgi_012144_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Dieffenbachia seguine	Dieffenbachia seguine	
jbp	dbgi_012154	20260427_115339_KK_general_ms2_pos_dbgi_012154_01_01	3428	dbgi_012154_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Nepenthes glandulifera	Nepenthes glandulifera	
jbp	dbgi_012157	20260427_144110_KK_general_ms2_pos_dbgi_012157_01_01	3463	dbgi_012157_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Gaultheria antipoda		
jbp	dbgi_012158	20260427_144110_KK_general_ms2_pos_dbgi_012158_01_01	3464	dbgi_012158_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Turnera ulmifolia	Turnera ulmifolia	
jbp	dbgi_012159	20260427_144110_KK_general_ms2_pos_dbgi_012159_01_01	3450	dbgi_012159_01_01	aliquot_to_extraction_to_original_sample	resolved	general_ms2_pos	Carpobrotus edulis	Carpobrotus edulis	
