decision	rationale	group_id	group_size	fingerprint	project	keep_field_data_id	keep_sample_id	delete_field_data_id	delete_sample_id	delete_sample_id_class	delete_canonical_candidate	unified_taxon_name	date	latitude	longitude	coordinate_status
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	1	3	champex_gradient|agrostis capilaris|20250624171008|7.074332|46.067345	champex_gradient	73867	grad_000198	73899	grad_29	short_numeric_suffix		Agrostis capilaris	20250624171008	7.0743318	46.067345	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	1	3	champex_gradient|agrostis capilaris|20250624171008|7.074332|46.067345	champex_gradient	73867	grad_000198	73941	grad_61	short_numeric_suffix		Agrostis capilaris	20250624171008	7.0743318	46.067345	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	2	3	champex_gradient|agrostis stolonifera|20250624103711|7.051763|46.13371	champex_gradient	73855	grad_000239	73887	grad_17	short_numeric_suffix		Agrostis stolonifera	20250624103711	7.051763	46.13371	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	2	3	champex_gradient|agrostis stolonifera|20250624103711|7.051763|46.13371	champex_gradient	73855	grad_000239	73929	grad_49	short_numeric_suffix		Agrostis stolonifera	20250624103711	7.051763	46.13371	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	3	3	champex_gradient|campanula rotundifolia|20250618144220|7.051507|46.08233	champex_gradient	73845	grad_000161	73877	grad_7	short_numeric_suffix		Campanula rotundifolia	20250618144220	7.0515065	46.08233	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	3	3	champex_gradient|campanula rotundifolia|20250618144220|7.051507|46.08233	champex_gradient	73845	grad_000161	73919	grad_39	short_numeric_suffix		Campanula rotundifolia	20250618144220	7.0515065	46.08233	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	4	3	champex_gradient|campanula rotundifolia|20250624145938|7.072832|46.070293	champex_gradient	73860	grad_000238	73892	grad_22	short_numeric_suffix		Campanula rotundifolia	20250624145938	7.0728316	46.070293	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	4	3	champex_gradient|campanula rotundifolia|20250624145938|7.072832|46.070293	champex_gradient	73860	grad_000238	73934	grad_54	short_numeric_suffix		Campanula rotundifolia	20250624145938	7.0728316	46.070293	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	5	3	champex_gradient|campanula rotundifolia|20250624164810|7.073292|46.067398	champex_gradient	73866	grad_000150	73898	grad_28	short_numeric_suffix		Campanula rotundifolia	20250624164810	7.073292	46.067398	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	5	3	champex_gradient|campanula rotundifolia|20250624164810|7.073292|46.067398	champex_gradient	73866	grad_000150	73940	grad_60	short_numeric_suffix		Campanula rotundifolia	20250624164810	7.073292	46.067398	looks_swapped_ch_lat_lon
