backup_kind	field_data_id	target_field	old_value	new_value	directus_row_json
field_data_unified_taxon_update	65661	taxon_name_unified		Hypericum maculatum Crantz subsp. maculatum	"{""id"": 65661, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65662	taxon_name_unified		Meconopsis cambrica (L.) Vig.	"{""id"": 65662, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65663	taxon_name_unified		Anemone ranunculoides L.	"{""id"": 65663, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65664	taxon_name_unified		Pinus cembra L.	"{""id"": 65664, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65666	taxon_name_unified		Silene dioica (L.) Clairv.	"{""id"": 65666, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65667	taxon_name_unified		Achillea macrophylla L.	"{""id"": 65667, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65668	taxon_name_unified		Stachys officinalis (L.) Trevis. s. l.	"{""id"": 65668, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65669	taxon_name_unified		Silene viscaria (L.) Borkh.	"{""id"": 65669, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65670	taxon_name_unified		Centaurea montana L.	"{""id"": 65670, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65671	taxon_name_unified		Larix decidua L.	"{""id"": 65671, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65674	taxon_name_unified		Asplenium trichomanes L.	"{""id"": 65674, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65675	taxon_name_unified		Stachys recta L. subsp. recta	"{""id"": 65675, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65676	taxon_name_unified		Stachys alpina L.	"{""id"": 65676, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65677	taxon_name_unified		Polygonatum multiflorum (L.) All.	"{""id"": 65677, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65678	taxon_name_unified		Aconitum vulparia aggr.	"{""id"": 65678, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65679	taxon_name_unified		Aconitum variegatum L.	"{""id"": 65679, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65680	taxon_name_unified		Aconitum forrestii Stapf	"{""id"": 65680, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65681	taxon_name_unified		Aconitum carmichaelii Debeaux	"{""id"": 65681, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65682	taxon_name_unified		Delphinium elatum L.	"{""id"": 65682, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65683	taxon_name_unified		Delphinium caucasicum C.A.Mey	"{""id"": 65683, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65684	taxon_name_unified		Ranunculus auricomus aggr.	"{""id"": 65684, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65685	taxon_name_unified		Ranunculus acris subsp. friesianus (Jord.) Syme	"{""id"": 65685, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65686	taxon_name_unified		Ranunculus aconitifolius L.	"{""id"": 65686, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65687	taxon_name_unified		Ranunculus repens L.	"{""id"": 65687, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65688	taxon_name_unified		Ranunculus gramineus L.	"{""id"": 65688, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65689	taxon_name_unified		Ranunculus arvensis L.	"{""id"": 65689, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65690	taxon_name_unified		Ranunculus muricatus L.	"{""id"": 65690, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65691	taxon_name_unified		Aconitum napellus L. s.l.	"{""id"": 65691, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65692	taxon_name_unified		Bouteloua curtipendula (Michx.) Torr.	"{""id"": 65692, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65693	taxon_name_unified		Arundo donax L.	"{""id"": 65693, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65694	taxon_name_unified		Bromus hordeaceus L. s.l.	"{""id"": 65694, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65695	taxon_name_unified		Bromus sterilis L.	"{""id"": 65695, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65696	taxon_name_unified		Melica altissima L.	"{""id"": 65696, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65697	taxon_name_unified		Elymus caninus (L.) L.	"{""id"": 65697, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65698	taxon_name_unified		Avena sativa L.	"{""id"": 65698, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65699	taxon_name_unified		Avena nuda L.	"{""id"": 65699, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65700	taxon_name_unified		Avena fatua L.	"{""id"": 65700, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65701	taxon_name_unified		Panicum virgatum L.	"{""id"": 65701, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65702	taxon_name_unified		Pennisetum glaucum (L.) R. Br.	"{""id"": 65702, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65703	taxon_name_unified		Zea mexicana (Schrad.) Post et Kuntze subsp. mexicana	"{""id"": 65703, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65704	taxon_name_unified		Zea mays L. convar. mays 'Mergoscia'	"{""id"": 65704, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65705	taxon_name_unified		Zea mays convar. microsperma Koern.	"{""id"": 65705, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65706	taxon_name_unified		Zea mays convar. saccharata Krn.	"{""id"": 65706, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65707	taxon_name_unified		Sorghum saccharatum convar. technicum (Koern.) Tzvelev	"{""id"": 65707, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65708	taxon_name_unified		Echinochloa crus-galli (L.) P. Beauv.	"{""id"": 65708, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65709	taxon_name_unified		Digitaria sanguinalis (L.) Scop.	"{""id"": 65709, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65710	taxon_name_unified		Setaria pumila (Poir.) Roem. et Schult.	"{""id"": 65710, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65711	taxon_name_unified		Setaria italica (L.) P. Beauv. Maxima Grp. 'Bernburger Kolben'	"{""id"": 65711, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65712	taxon_name_unified		Panicum miliaceum L.	"{""id"": 65712, ""taxon_name_unified"": null}"
