field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
65608	dbgi_001187	jbuf	taxon_name_unified	Lonicera xylosteum L.	Lonicera xylosteum L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65609	dbgi_001178	jbuf	taxon_name_unified	Euonymus alatus Sieb.	Euonymus alatus Sieb.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65610	dbgi_001177	jbuf	taxon_name_unified	Euonymus europaeus L.	Euonymus europaeus L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65611	dbgi_001185	jbuf	taxon_name_unified	Clematis heracleifolia DC.	Clematis heracleifolia DC.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65612	dbgi_001188	jbuf	taxon_name_unified	Clematis recta L.	Clematis recta L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65613	dbgi_001186	jbuf	taxon_name_unified	Clematis vitalba L.	Clematis vitalba L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65614	dbgi_001184	jbuf	taxon_name_unified	Lonicera periclymenum L.	Lonicera periclymenum L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65615	dbgi_001139	jbuf	taxon_name_unified	Lonicera caprifolium L.	Lonicera caprifolium L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65616	dbgi_001176	jbuf	taxon_name_unified	Lonicera tatarica L.	Lonicera tatarica L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65617	dbgi_001183	jbuf	taxon_name_unified	Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'	Lonicera kamtschatica (Sevast.) Pojark. 'Maistar'	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65618	dbgi_001157	jbuf	taxon_name_unified	Euonymus fortunei Hand.- Mazz. 'Coloratus'	Euonymus fortunei Hand.- Mazz. 'Coloratus'	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65619	dbgi_001162	jbuf	taxon_name_unified	Clematis recta L.	Clematis recta L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65620	dbgi_001175	jbuf	taxon_name_unified	Clematis viticella L.	Clematis viticella L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65621	dbgi_001182	jbuf	taxon_name_unified	Clematis alpina (L.) Mill.	Clematis alpina (L.) Mill.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65622	dbgi_001166	jbuf	taxon_name_unified	Lonicera caerulea L.	Lonicera caerulea L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65623	dbgi_001158	jbuf	taxon_name_unified	Lonicera alpigena L.	Lonicera alpigena L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65624	dbgi_001174	jbuf	taxon_name_unified	Lonicera nigra L.	Lonicera nigra L.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65625	dbgi_001156	jbuf	taxon_name_unified	Clematis alpina (L.) Mill.	Clematis alpina (L.) Mill.	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65626	dbgi_001169	jbuf	taxon_name_unified	Lonicera japonica Thunb. 'Halliana'	Lonicera japonica Thunb. 'Halliana'	sample_name	resolved_from_primary_taxon_field	sample_name		target_field_already_populated
65627	dbgi_003185	jbuf	taxon_name_unified	Agrimonia eupatoria L.	Agrimonia eupatoria L.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65628	dbgi_003155	jbuf	taxon_name_unified	Rubus idaeus L. 'Autumn Bliss'	Rubus idaeus L. 'Autumn Bliss'	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65629	dbgi_003196	jbuf	taxon_name_unified	Waldsteinia fragarioides Tratt.	Waldsteinia fragarioides Tratt.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65630	dbgi_003223	jbuf	taxon_name_unified	Rosa glauca Pourr.	Rosa glauca Pourr.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65631	dbgi_003101	jbuf	taxon_name_unified	Stephanandra incisa (Thunb.) Zabel 'Crispa'	Stephanandra incisa (Thunb.) Zabel 'Crispa'	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65632	dbgi_003214	jbuf	taxon_name_unified	Hyoscyamus niger L.	Hyoscyamus niger L.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65633	dbgi_003180	jbuf	taxon_name_unified	Petunia integrifolia (Hook.) Schinz et Thell.	Petunia integrifolia (Hook.) Schinz et Thell.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65636	dbgi_2	kew-botanical-gardens	taxon_name_unified	Passiflora	Passiflora	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65641	dbgi_003140	jbuf	taxon_name_unified	Papaver somniferum L.	Papaver somniferum L.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
65642	dbgi_003198	jbuf	taxon_name_unified	Corydalis flexuosa Franch.	Corydalis flexuosa Franch.	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
