collection	id	container_id	sample_id	issue
Dried_Samples_Data	4127	dbgi_006469		missing_field_data_for_dried_sample
Dried_Samples_Data	4128	dbgi_006472		missing_field_data_for_dried_sample
Dried_Samples_Data	4129	dbgi_006471		missing_field_data_for_dried_sample
Dried_Samples_Data	4130	dbgi_006468		missing_field_data_for_dried_sample
Dried_Samples_Data	4131	dbgi_006477		missing_field_data_for_dried_sample
Dried_Samples_Data	4132	dbgi_006476		missing_field_data_for_dried_sample
Dried_Samples_Data	4133	dbgi_006473		missing_field_data_for_dried_sample
Dried_Samples_Data	4134	dbgi_006474		missing_field_data_for_dried_sample
Dried_Samples_Data	4135	dbgi_006475		missing_field_data_for_dried_sample
Dried_Samples_Data	4136	dbgi_006524		missing_field_data_for_dried_sample
Dried_Samples_Data	4137	dbgi_006525		missing_field_data_for_dried_sample
Dried_Samples_Data	4138	dbgi_006523		missing_field_data_for_dried_sample
Dried_Samples_Data	4139	dbgi_006527		missing_field_data_for_dried_sample
Dried_Samples_Data	4140	dbgi_006526		missing_field_data_for_dried_sample
Dried_Samples_Data	4141	dbgi_006520		missing_field_data_for_dried_sample
Dried_Samples_Data	4142	dbgi_006518		missing_field_data_for_dried_sample
Dried_Samples_Data	4143	dbgi_006521		missing_field_data_for_dried_sample
Dried_Samples_Data	4144	dbgi_006522		missing_field_data_for_dried_sample
Dried_Samples_Data	4145	dbgi_006519		missing_field_data_for_dried_sample
Dried_Samples_Data	4146	dbgi_006517		missing_field_data_for_dried_sample
Dried_Samples_Data	4147	dbgi_006513		missing_field_data_for_dried_sample
Dried_Samples_Data	4148	dbgi_006514		missing_field_data_for_dried_sample
Dried_Samples_Data	4149	dbgi_006515		missing_field_data_for_dried_sample
Dried_Samples_Data	4150	dbgi_006516		missing_field_data_for_dried_sample
Dried_Samples_Data	4151	dbgi_006491		missing_field_data_for_dried_sample
Dried_Samples_Data	4152	dbgi_006488		missing_field_data_for_dried_sample
Dried_Samples_Data	4153	dbgi_006490		missing_field_data_for_dried_sample
Dried_Samples_Data	4154	dbgi_006492		missing_field_data_for_dried_sample
Dried_Samples_Data	4155	dbgi_006489		missing_field_data_for_dried_sample
Dried_Samples_Data	4156	dbgi_006508		missing_field_data_for_dried_sample
