field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
65660	dbgi_003216	jbuf	taxon_name_unified		Alchemilla fissa Gnther et Schummel	sample_name	resolved_from_primary_taxon_field	sample_name		
65661	dbgi_003203	jbuf	taxon_name_unified		Hypericum maculatum Crantz subsp. maculatum	sample_name	resolved_from_primary_taxon_field	sample_name		
65662	dbgi_003081	jbuf	taxon_name_unified		Meconopsis cambrica (L.) Vig.	sample_name	resolved_from_primary_taxon_field	sample_name		
65663	dbgi_003088	jbuf	taxon_name_unified		Anemone ranunculoides L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65664	dbgi_003160	jbuf	taxon_name_unified		Pinus cembra L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65666	dbgi_003105	jbuf	taxon_name_unified		Silene dioica (L.) Clairv.	sample_name	resolved_from_primary_taxon_field	sample_name		
65667	dbgi_003127	jbuf	taxon_name_unified		Achillea macrophylla L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65668	dbgi_003107	jbuf	taxon_name_unified		Stachys officinalis (L.) Trevis. s. l.	sample_name	resolved_from_primary_taxon_field	sample_name		
65669	dbgi_003072	jbuf	taxon_name_unified		Silene viscaria (L.) Borkh.	sample_name	resolved_from_primary_taxon_field	sample_name		
65670	dbgi_003158	jbuf	taxon_name_unified		Centaurea montana L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65671	dbgi_003090	jbuf	taxon_name_unified		Larix decidua L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65674	dbgi_003085	jbuf	taxon_name_unified		Asplenium trichomanes L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65675	dbgi_003219	jbuf	taxon_name_unified		Stachys recta L. subsp. recta	sample_name	resolved_from_primary_taxon_field	sample_name		
65676	dbgi_003146	jbuf	taxon_name_unified		Stachys alpina L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65677	dbgi_003168	jbuf	taxon_name_unified		Polygonatum multiflorum (L.) All.	sample_name	resolved_from_primary_taxon_field	sample_name		
65678	dbgi_001126	jbuf	taxon_name_unified		Aconitum vulparia aggr.	sample_name	resolved_from_primary_taxon_field	sample_name		
65679	dbgi_001123	jbuf	taxon_name_unified		Aconitum variegatum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65680	dbgi_001135	jbuf	taxon_name_unified		Aconitum forrestii Stapf	sample_name	resolved_from_primary_taxon_field	sample_name		
65681	dbgi_001118	jbuf	taxon_name_unified		Aconitum carmichaelii Debeaux	sample_name	resolved_from_primary_taxon_field	sample_name		
65682	dbgi_001128	jbuf	taxon_name_unified		Delphinium elatum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65683	dbgi_001114	jbuf	taxon_name_unified		Delphinium caucasicum C.A.Mey	sample_name	resolved_from_primary_taxon_field	sample_name		
65684	dbgi_000911	jbuf	taxon_name_unified		Ranunculus auricomus aggr.	sample_name	resolved_from_primary_taxon_field	sample_name		
65685	dbgi_001052	jbuf	taxon_name_unified		Ranunculus acris subsp. friesianus (Jord.) Syme	sample_name	resolved_from_primary_taxon_field	sample_name		
65686	dbgi_001133	jbuf	taxon_name_unified		Ranunculus aconitifolius L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65687	dbgi_001124	jbuf	taxon_name_unified		Ranunculus repens L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65688	dbgi_001130	jbuf	taxon_name_unified		Ranunculus gramineus L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65689	dbgi_001005	jbuf	taxon_name_unified		Ranunculus arvensis L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65690	dbgi_001131	jbuf	taxon_name_unified		Ranunculus muricatus L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65691	dbgi_001137	jbuf	taxon_name_unified		Aconitum napellus L. s.l.	sample_name	resolved_from_primary_taxon_field	sample_name		
65692	dbgi_001165	jbuf	taxon_name_unified		Bouteloua curtipendula (Michx.) Torr.	sample_name	resolved_from_primary_taxon_field	sample_name		
65693	dbgi_000960	jbuf	taxon_name_unified		Arundo donax L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65694	dbgi_000975	jbuf	taxon_name_unified		Bromus hordeaceus L. s.l.	sample_name	resolved_from_primary_taxon_field	sample_name		
65695	dbgi_001047	jbuf	taxon_name_unified		Bromus sterilis L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65696	dbgi_001129	jbuf	taxon_name_unified		Melica altissima L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65697	dbgi_001113	jbuf	taxon_name_unified		Elymus caninus (L.) L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65698	dbgi_001042	jbuf	taxon_name_unified		Avena sativa L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65699	dbgi_001055	jbuf	taxon_name_unified		Avena nuda L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65700	dbgi_001155	jbuf	taxon_name_unified		Avena fatua L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65701	dbgi_001006	jbuf	taxon_name_unified		Panicum virgatum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65702	dbgi_001154	jbuf	taxon_name_unified		Pennisetum glaucum (L.) R. Br.	sample_name	resolved_from_primary_taxon_field	sample_name		
65703	dbgi_001167	jbuf	taxon_name_unified		Zea mexicana (Schrad.) Post et Kuntze subsp. mexicana	sample_name	resolved_from_primary_taxon_field	sample_name		
65704	dbgi_001172	jbuf	taxon_name_unified		Zea mays L. convar. mays 'Mergoscia'	sample_name	resolved_from_primary_taxon_field	sample_name		
65705	dbgi_001170	jbuf	taxon_name_unified		Zea mays convar. microsperma Koern.	sample_name	resolved_from_primary_taxon_field	sample_name		
65706	dbgi_001168	jbuf	taxon_name_unified		Zea mays convar. saccharata Krn.	sample_name	resolved_from_primary_taxon_field	sample_name		
65707	dbgi_000545	jbuf	taxon_name_unified		Sorghum saccharatum convar. technicum (Koern.) Tzvelev	sample_name	resolved_from_primary_taxon_field	sample_name		
65708	dbgi_001164	jbuf	taxon_name_unified		Echinochloa crus-galli (L.) P. Beauv.	sample_name	resolved_from_primary_taxon_field	sample_name		
65709	dbgi_001180	jbuf	taxon_name_unified		Digitaria sanguinalis (L.) Scop.	sample_name	resolved_from_primary_taxon_field	sample_name		
65710	dbgi_001120	jbuf	taxon_name_unified		Setaria pumila (Poir.) Roem. et Schult.	sample_name	resolved_from_primary_taxon_field	sample_name		
65711	dbgi_001044	jbuf	taxon_name_unified		Setaria italica (L.) P. Beauv. Maxima Grp. 'Bernburger Kolben'	sample_name	resolved_from_primary_taxon_field	sample_name		
65712	dbgi_001181	jbuf	taxon_name_unified		Panicum miliaceum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65713	dbgi_001111	jbuf	taxon_name_unified		Chrysopogon gryllus (L.) Trin.	sample_name	resolved_from_primary_taxon_field	sample_name		
65714	dbgi_001127	jbuf	taxon_name_unified		Chasmanthium latifolium (Michx.) H.O. Yates	sample_name	resolved_from_primary_taxon_field	sample_name		
65715	dbgi_001171	jbuf	taxon_name_unified		Eragrostis tef (Zuccagni) Trotter	sample_name	resolved_from_primary_taxon_field	sample_name		
65716	dbgi_001115	jbuf	taxon_name_unified		Chloris virgata Sw.	sample_name	resolved_from_primary_taxon_field	sample_name		
65717	dbgi_001037	jbuf	taxon_name_unified		Muhlenbergia mexicana (L.) Trin.	sample_name	resolved_from_primary_taxon_field	sample_name		
65718	dbgi_001053	jbuf	taxon_name_unified		Eleusine coracana (L.) Gaertn.	sample_name	resolved_from_primary_taxon_field	sample_name		
65719	dbgi_001122	jbuf	taxon_name_unified		Avena sterilis L. s.l.	sample_name	resolved_from_primary_taxon_field	sample_name		
65720	dbgi_000929	jbuf	taxon_name_unified		Avena strigosa Schreb.	sample_name	resolved_from_primary_taxon_field	sample_name		
65721	dbgi_001239	jbuf	taxon_name_unified		Fumaria officinalis subsp. wirtgenii (W.D.J. Koch) Arcang.	sample_name	resolved_from_primary_taxon_field	sample_name		
65723	dbgi_001226	jbuf	taxon_name_unified		Corydalis lutea (L.) DC.	sample_name	resolved_from_primary_taxon_field	sample_name		
65724	dbgi_001241	jbuf	taxon_name_unified		Corydalis flexuosa Franch.	sample_name	resolved_from_primary_taxon_field	sample_name		
65726	dbgi_001240	jbuf	taxon_name_unified		Argemone mexicana L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65727	dbgi_001223	jbuf	taxon_name_unified		Lamprocapnos spectabilis (L.) Fukuhara	sample_name	resolved_from_primary_taxon_field	sample_name		
65728	dbgi_001040	jbuf	taxon_name_unified		aaunknown	sample_name	resolved_from_primary_taxon_field	sample_name		
65729	dbgi_001248	jbuf	taxon_name_unified		Chelidonium majus L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65730	dbgi_001224	jbuf	taxon_name_unified		Glaucium flavum Crantz	sample_name	resolved_from_primary_taxon_field	sample_name		
65731	dbgi_001233	jbuf	taxon_name_unified		Papaver atlanticum (Ball) Coss.	sample_name	resolved_from_primary_taxon_field	sample_name		
65732	dbgi_001232	jbuf	taxon_name_unified		Eschscholzia californica Cham.	sample_name	resolved_from_primary_taxon_field	sample_name		
65733	dbgi_001229	jbuf	taxon_name_unified		Xanthorhiza simplicissima Marshall	sample_name	resolved_from_primary_taxon_field	sample_name		
65734	dbgi_001247	jbuf	taxon_name_unified		Thalictrum aquilegiifolium L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65735	dbgi_001225	jbuf	taxon_name_unified		Thalictrum lucidum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65736	dbgi_001228	jbuf	taxon_name_unified		Thalictrum rochebruneanum Franch. et Sav.	sample_name	resolved_from_primary_taxon_field	sample_name		
65737	dbgi_001236	jbuf	taxon_name_unified		Aquilegia chrysantha A. Gray	sample_name	resolved_from_primary_taxon_field	sample_name		
65738	dbgi_001230	jbuf	taxon_name_unified		Aquilegia atrata W.D.J. Koch	sample_name	resolved_from_primary_taxon_field	sample_name		
65739	dbgi_001242	jbuf	taxon_name_unified		Trollius europaeus L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65740	dbgi_001205	jbuf	taxon_name_unified		Clematis heracleifolia DC.	sample_name	resolved_from_primary_taxon_field	sample_name		
65741	dbgi_001050	jbuf	taxon_name_unified		Anemone canadensis L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65742	dbgi_001058	jbuf	taxon_name_unified		Clematis florida Thunb.	sample_name	resolved_from_primary_taxon_field	sample_name		
65743	dbgi_001132	jbuf	taxon_name_unified		Clematis recta L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65744	dbgi_001046	jbuf	taxon_name_unified		Hepatica nobilis Schreb.	sample_name	resolved_from_primary_taxon_field	sample_name		
65745	dbgi_001231	jbuf	taxon_name_unified		Clematis vitalba L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65746	dbgi_001234	jbuf	taxon_name_unified		Ranunculus repens L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65747	dbgi_001051	jbuf	taxon_name_unified		Ranunculus acris subsp. friesianus (Jord.) Syme	sample_name	resolved_from_primary_taxon_field	sample_name		
65748	dbgi_001207	jbuf	taxon_name_unified		Ranunculus sardous Crantz	sample_name	resolved_from_primary_taxon_field	sample_name		
65749	dbgi_001752	jbuf	taxon_name_unified		Decaisnea insignis (Griff.) Hook.f. & Thomson	sample_name	resolved_from_primary_taxon_field	sample_name		
65750	dbgi_001757	jbuf	taxon_name_unified		Menispermum canadense L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65751	dbgi_001138	jbuf	taxon_name_unified		Staphylea pinnata L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65752	dbgi_001121	jbuf	taxon_name_unified		Fuchsia microphylla Kunth	sample_name	resolved_from_primary_taxon_field	sample_name		
65754	dbgi_001749	jbuf	taxon_name_unified		Adonis aestivalis L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65755	dbgi_001136	jbuf	taxon_name_unified		Delphinium elatum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65756	dbgi_001208	jbuf	taxon_name_unified		Delphinium caucasicum C.A.Mey	sample_name	resolved_from_primary_taxon_field	sample_name		
65757	dbgi_001056	jbuf	taxon_name_unified		Delphinium vestitum Royle	sample_name	resolved_from_primary_taxon_field	sample_name		
65758	dbgi_001191	jbuf	taxon_name_unified		Delphinium grandiflorum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65759	dbgi_001043	jbuf	taxon_name_unified		Aconitum variegatum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65760	dbgi_001048	jbuf	taxon_name_unified		Aconitum carmichaelii Debeaux	sample_name	resolved_from_primary_taxon_field	sample_name		
65761	dbgi_001209	jbuf	taxon_name_unified		Aconitum vulparia aggr.	sample_name	resolved_from_primary_taxon_field	sample_name		
65762	dbgi_001751	jbuf	taxon_name_unified		Aconitum forrestii Stapf	sample_name	resolved_from_primary_taxon_field	sample_name		
65763	dbgi_001750	jbuf	taxon_name_unified		Nigella damascena L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65764	dbgi_001179	jbuf	taxon_name_unified		Nigella arvensis L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65765	dbgi_001206	jbuf	taxon_name_unified		Nigella sativa L.	sample_name	resolved_from_primary_taxon_field	sample_name		
