field_data_id	sample_id	qfield_project	taxon_name	old_name_proposition	new_name_proposition
74675	drog_000070	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74676	drog_000143	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74677	drog_000210	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74678	drog_000180	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74679	drog_000085	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74680	drog_000181	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74681	drog_000107	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74682	drog_000283	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74683	drog_000292	droguier_jbn	Potentilla_erecta_L_Raeusch_	Chamaemelum nobile	
74684	drog_000099	droguier_jbn	Plantago_lanceolata_L	Chamaemelum nobile	
74685	drog_000127	droguier_jbn	Plantago_lanceolata_L	Chamaemelum nobile	
74686	drog_000222	droguier_jbn	Plantago_lanceolata_L	Chamaemelum nobile	
74687	drog_000199	droguier_jbn	Plantago_lanceolata_L	Chamaemelum nobile	
74688	drog_000253	droguier_jbn	Plantago_lanceolata_L	Chamaemelum nobile	
74705	drog_000297	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74706	drog_000138	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74707	drog_000171	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74708	drog_000113	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74709	drog_000272	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74710	drog_000258	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74711	drog_000281	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74712	drog_000248	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74713	drog_000261	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74714	drog_000276	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
