project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issues
jbuf	65662	dbgi_003081	canonical	dbgi_003081		Meconopsis cambrica (L.) Vig.			7.1565127	46.792797	looks_swapped_ch_lat_lon	missing_date
jbuf	65663	dbgi_003088	canonical	dbgi_003088		Anemone ranunculoides L.			7.156516	46.792793	looks_swapped_ch_lat_lon	missing_date
jbuf	65664	dbgi_003160	canonical	dbgi_003160		Pinus cembra L.			7.1564445	46.79274	looks_swapped_ch_lat_lon	missing_date
jbuf	65665	dbgi_003076	canonical	dbgi_003076		aaunknown			7.1565332	46.792805	looks_swapped_ch_lat_lon	missing_date
jbuf	65666	dbgi_003105	canonical	dbgi_003105		Silene dioica (L.) Clairv.			7.156533	46.79281	looks_swapped_ch_lat_lon	missing_date
jbuf	65667	dbgi_003127	canonical	dbgi_003127		Achillea macrophylla L.			7.1564927	46.79281	looks_swapped_ch_lat_lon	missing_date
jbuf	65668	dbgi_003107	canonical	dbgi_003107		Stachys officinalis (L.) Trevis. s. l.			7.1565337	46.792828	looks_swapped_ch_lat_lon	missing_date
jbuf	65669	dbgi_003072	canonical	dbgi_003072		Silene viscaria (L.) Borkh.			7.1565065	46.79273	looks_swapped_ch_lat_lon	missing_date
jbuf	65670	dbgi_003158	canonical	dbgi_003158		Centaurea montana L.			7.1565065	46.79273	looks_swapped_ch_lat_lon	missing_date
jbuf	65671	dbgi_003090	canonical	dbgi_003090		Larix decidua L.			7.1565375	46.79275	looks_swapped_ch_lat_lon	missing_date
jbuf	65672	dbgi_003218	canonical	dbgi_003218		aaunknown			7.1565285	46.792744	looks_swapped_ch_lat_lon	missing_date
jbuf	65673	dbgi_003128	canonical	dbgi_003128		Helianthemum nummularium subsp. obscurum (Celak.) Holub			7.1563687	46.792686	looks_swapped_ch_lat_lon	missing_date
jbuf	65674	dbgi_003085	canonical	dbgi_003085		Asplenium trichomanes L.			7.1563873	46.792683	looks_swapped_ch_lat_lon	missing_date
jbuf	65675	dbgi_003219	canonical	dbgi_003219		Stachys recta L. subsp. recta			7.156426	46.792706	looks_swapped_ch_lat_lon	missing_date
jbuf	65676	dbgi_003146	canonical	dbgi_003146		Stachys alpina L.			7.1565247	46.79281	looks_swapped_ch_lat_lon	missing_date
jbuf	65677	dbgi_003168	canonical	dbgi_003168		Polygonatum multiflorum (L.) All.			7.1565723	46.79274	looks_swapped_ch_lat_lon	missing_date
jbuf	65678	dbgi_001126	canonical	dbgi_001126		Aconitum vulparia aggr.			7.1564517	46.79245	looks_swapped_ch_lat_lon	missing_date
jbuf	65679	dbgi_001123	canonical	dbgi_001123		Aconitum variegatum L.			7.1564527	46.792458	looks_swapped_ch_lat_lon	missing_date
jbuf	65680	dbgi_001135	canonical	dbgi_001135		Aconitum forrestii Stapf			7.156461	46.792454	looks_swapped_ch_lat_lon	missing_date
jbuf	65681	dbgi_001118	canonical	dbgi_001118		Aconitum carmichaelii Debeaux			7.1564655	46.79246	looks_swapped_ch_lat_lon	missing_date
jbuf	65682	dbgi_001128	canonical	dbgi_001128		Delphinium elatum L.			7.156454	46.792473	looks_swapped_ch_lat_lon	missing_date
jbuf	65683	dbgi_001114	canonical	dbgi_001114		Delphinium caucasicum C.A.Mey			7.1564636	46.792473	looks_swapped_ch_lat_lon	missing_date
jbuf	65684	dbgi_000911	canonical	dbgi_000911		Ranunculus auricomus aggr.			7.1565013	46.792347	looks_swapped_ch_lat_lon	missing_date
jbuf	65685	dbgi_001052	canonical	dbgi_001052		Ranunculus acris subsp. friesianus (Jord.) Syme			7.1564984	46.792366	looks_swapped_ch_lat_lon	missing_date
jbuf	65686	dbgi_001133	canonical	dbgi_001133		Ranunculus aconitifolius L.			7.1565094	46.79235	looks_swapped_ch_lat_lon	missing_date
jbuf	65687	dbgi_001124	canonical	dbgi_001124		Ranunculus repens L.			7.1565065	46.79234	looks_swapped_ch_lat_lon	missing_date
jbuf	65688	dbgi_001130	canonical	dbgi_001130		Ranunculus gramineus L.			7.15651	46.792336	looks_swapped_ch_lat_lon	missing_date
jbuf	65689	dbgi_001005	canonical	dbgi_001005		Ranunculus arvensis L.			7.156512	46.79233	looks_swapped_ch_lat_lon	missing_date
jbuf	65690	dbgi_001131	canonical	dbgi_001131		Ranunculus muricatus L.			7.1565156	46.792324	looks_swapped_ch_lat_lon	missing_date
jbuf	65691	dbgi_001137	canonical	dbgi_001137		Aconitum napellus L. s.l.			7.1566734	46.79298	looks_swapped_ch_lat_lon	missing_date
jbuf	65692	dbgi_001165	canonical	dbgi_001165		Bouteloua curtipendula (Michx.) Torr.			7.1566358	46.7923	looks_swapped_ch_lat_lon	missing_date
jbuf	65693	dbgi_000960	canonical	dbgi_000960		Arundo donax L.			7.1566215	46.79231	looks_swapped_ch_lat_lon	missing_date
jbuf	65694	dbgi_000975	canonical	dbgi_000975		Bromus hordeaceus L. s.l.			7.156607	46.79234	looks_swapped_ch_lat_lon	missing_date
jbuf	65695	dbgi_001047	canonical	dbgi_001047		Bromus sterilis L.			7.1565943	46.79234	looks_swapped_ch_lat_lon	missing_date
jbuf	65696	dbgi_001129	canonical	dbgi_001129		Melica altissima L.			7.156592	46.79236	looks_swapped_ch_lat_lon	missing_date
jbuf	65697	dbgi_001113	canonical	dbgi_001113		Elymus caninus (L.) L.			7.156578	46.792362	looks_swapped_ch_lat_lon	missing_date
jbuf	65698	dbgi_001042	canonical	dbgi_001042		Avena sativa L.			7.1565685	46.792374	looks_swapped_ch_lat_lon	missing_date
jbuf	65699	dbgi_001055	canonical	dbgi_001055		Avena nuda L.			7.1565666	46.792377	looks_swapped_ch_lat_lon	missing_date
jbuf	65700	dbgi_001155	canonical	dbgi_001155		Avena fatua L.			7.156564	46.79238	looks_swapped_ch_lat_lon	missing_date
jbuf	65701	dbgi_001006	canonical	dbgi_001006		Panicum virgatum L.			7.1567116	46.79224	looks_swapped_ch_lat_lon	missing_date
