filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250403_ML_Metabo_DDA_sample_130_nr8.mzML,130,sample,dbgi_003579,dbgi_003579_01_01,Wisteria floribunda,Wisteria,Fabaceae,3922,positive,Leaf,0,Mazzarine Laboureau,46.99974,6.934434,2561652.5,1205533.2,2025-03-04T13:03:43.295Z
250403_ML_Metabo_DDA_sample_131_nr8.mzML,131,sample,dbgi_002129,dbgi_002129_01_01,Hyssopus officinalis,Hyssopus,Lamiaceae,39324,positive,Leaf,0,Mazzarine Laboureau,47.0003,6.9350553,2561700.2,1205595,2025-03-04T13:03:24.194Z
250403_ML_Metabo_DDA_sample_132_nr8.mzML,132,sample,dbgi_001963,dbgi_001963_02_01,Achillea millefolium,Achillea,Compositae,13329,positive,Leaf,0,Mazzarine Laboureau,47.000267,6.934929,2561690.5,1205591.2,2025-03-04T13:03:25.255Z
250403_ML_Metabo_DDA_sample_133_nr8.mzML,133,sample,dbgi_003459,dbgi_003459_01_01,Stipa ucrainica,Stipa,Poaceae,665549,positive,Leaf,0,Mazzarine Laboureau,46.99995,6.9349055,2561688.5,1205556.4,2025-03-04T13:03:32.382Z
250403_ML_Metabo_DDA_sample_134_nr8.mzML,134,sample,dbgi_002086,dbgi_002086_01_01,Goniolimon tataricum,Goniolimon,Plumbaginaceae,122305,positive,Leaf,0,Mazzarine Laboureau,46.999935,6.934901,2561688.2,1205554.5,2025-03-04T13:03:32.348Z
250403_ML_Metabo_DDA_sample_135_nr8.mzML,135,sample,dbgi_002115,dbgi_002115_01_01,Sium sisarum,Sium,Apiaceae,240844,positive,Leaf,0,Mazzarine Laboureau,47.000286,6.935037,2561698.8,1205593.6,2025-03-04T13:03:24.284Z
250403_ML_Metabo_DDA_sample_136_nr8.mzML,136,sample,dbgi_002018,dbgi_002018_01_01,NA,NA,NA,NA,NA,Leaf,0,Mazzarine Laboureau,46.999702,6.93393,2561614.2,1205529.1,2025-03-04T13:03:40.235Z
250403_ML_Metabo_DDA_sample_137_nr8.mzML,137,sample,dbgi_003662,dbgi_003662_01_01,Tellima grandiflora,Tellima,Saxifragaceae,29775,positive,Leaf,0,Mazzarine Laboureau,46.99972,6.9344807,2561656,1205531,2025-03-04T13:03:43.870Z
250403_ML_Metabo_DDA_sample_138_nr8.mzML,138,sample,dbgi_003428,dbgi_003428_01_01,Hypericum perforatum,Hypericum,Hypericaceae,65561,positive,Leaf,0,Mazzarine Laboureau,46.999607,6.9338617,2561609,1205518.4,2025-03-04T13:03:40.857Z
250403_ML_Metabo_DDA_sample_139_nr8.mzML,139,sample,dbgi_003314,dbgi_003314_01_01,Festuca ovina,Festuca,Poaceae,98750,positive,Leaf,0,Mazzarine Laboureau,46.999992,6.9347153,2561674,1205561.1,2025-03-04T13:03:28.918Z
